index,"press/media registry — context only, no sheet intake",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,Name,Kind,City,Email,Destination_URL,Source_URL,Active,Verified,Accepts_Outreach,Do_Not_Contact,Relationship_Score,Relevance_Pct,Confidence_Pct
1,Marcin,promoter,Wrocław,m.janusin@gmail.com,,,t,t,t,f,100,100.0,100.0
2,Wojtek test,promoter,Wrocław,wojciech.jan.bator@gmail.com,,,t,t,t,f,100,100.0,100.0
3,(Ż)aluzje,local_press,,zaluzje.gazeta@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
4,101 WRIF - FM Detroit,radio,,promotions@wrif.com,https://wrif.com,,t,f,f,f,50,50.0,50.0
5,140dB,local_press,,j.milszewski@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
6,17 - Studenckie Radio 17,radio,,redakcja@radio17.pl,https://radio17.pl,,t,f,f,f,50,50.0,50.0
7,1921 Baliheadbanger Online Radio,radio,,agus_yankky@yahoo.co.id,https://yahoo.co.id,,t,f,f,f,50,50.0,50.0
8,24Kurier,local_press,,24kurier@kurier.szczecin.pl,https://kurier.szczecin.pl,,t,f,f,f,50,50.0,50.0
9,3 wymiary gitary,radio,,piotr.baron@polskieradio.pl,https://polskieradio.pl,,t,f,f,f,50,50.0,50.0
10,4Ever Music,patron,,promocja@4evermusic.pl,https://4evermusic.pl,,t,f,f,f,50,50.0,50.0
11,5 Ełk,radio,,suwalki@radio5.com.pl,https://radio5.com.pl,,t,f,f,f,50,50.0,50.0
12,5kg Kultury,local_press,,redakcja@5kilokultury.pl,https://5kilokultury.pl,,t,f,f,f,50,50.0,50.0
13,@deathcoredadofficial,creator,,,https://tiktok.com/@deathcoredadofficial,,t,f,f,f,50,50.0,50.0
14,@metalhammeruk,creator,,,https://tiktok.com/@metalhammeruk,,t,f,f,f,50,50.0,50.0
15,@metalnews,creator,,,https://tiktok.com/@metalnews,,t,f,f,f,50,50.0,50.0
16,@mutiilati0n,creator,,,https://tiktok.com/@mutiilati0n,,t,f,f,f,50,50.0,50.0
17,AAGHR,creator,,hello@aaaghr.com,https://aaaghr.com,,t,f,f,f,50,50.0,50.0
18,AKVARK0,creator,,akvarko@o2.pl,https://o2.pl,,t,f,f,f,50,50.0,50.0
19,ALEXOWO,creator,,alexowo@interia.pl,https://interia.pl,,t,f,f,f,50,50.0,50.0
20,AMM Audycja Mocno Muzyczna,radio,,amm@rns.fm,https://rns.fm,,t,f,f,f,50,50.0,50.0
21,ANAKO - Daria Widermanska-Spala,creator,,daria@anako.pl,https://anako.pl,,t,f,f,f,50,50.0,50.0
22,ARP - Akademickie Radio Pomorze,radio,,arp@zut.edu.pl,https://zut.edu.pl,,t,f,f,f,50,50.0,50.0
23,ARTVADERS,creator,,contact@artvaders.com,https://artvaders.com,,t,f,f,f,50,50.0,50.0
24,ATM Rozrywka,local_press,,telewizja@atmrozrywka.tv,https://atmrozrywka.tv,,t,f,f,f,50,50.0,50.0
25,Abbey Road,reviewer,,martyna@abbeyroad.pl,https://abbeyroad.pl,,t,f,f,f,50,50.0,50.0
26,Absynt,reviewer,,absyntsklep@wp.pl,https://wp.pl,,t,f,f,f,50,50.0,50.0
27,Ace of Spades,reviewer,,kontakt@aceofspades.com.pl,https://aceofspades.com.pl,,t,f,f,f,50,50.0,50.0
28,Active Rock Show,radio,,sebastian@activerock.pl,https://activerock.pl,,t,f,f,f,50,50.0,50.0
29,Ada Buchholc,creator,,ada.buchholc@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
30,Adam Droździk,radio,,rock@radiopik.pl,https://radiopik.pl,,t,f,f,f,50,50.0,50.0
31,Adrenalina,reviewer,,sklep@adrenalina.info.pl,https://adrenalina.info.pl,,t,f,f,f,50,50.0,50.0
32,Aerial Art,creator,,aerialart@aerialart.pl,https://aerialart.pl,,t,f,f,f,50,50.0,50.0
33,Afera,radio,,piotr.graczyk@afera.com.pl,https://afera.com.pl,,t,f,f,f,50,50.0,50.0
34,Afro Styl,reviewer,,afrozakupy@o2.pl,https://o2.pl,,t,f,f,f,50,50.0,50.0
35,AfterDark,radio,,afterdark@radiooko.pl,https://radiooko.pl,,t,f,f,f,50,50.0,50.0
36,Agnieszka Barańska,radio,,baranska@radiokrakow.pl,https://radiokrakow.pl,,t,f,f,f,50,50.0,50.0
