index,venue_seed intake columns — re-importable as-is,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
0,Name,City,Country,Address,Website,Audience_Genre,Capacity,Booking_Contact,Email,Public_Financial_Info,Status,Source_URL,Research_Date,Target_Fit,Contact_Quality,Outreach_Angle,Notes
1,AK PG Kwadratowa,Gdańsk,Poland,"Siedlicka 4, Gdansk",https://kwadratowa.pl,"rock, pop, alternative",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/gdansk/clubs/lvzvpdmkkzr/,2026-09-22,High,Address only,Metal/rock club pitch,Student concert club.
2,Autsajder,Gdańsk,Poland,"ul. Do Studzienki 34A, Gdansk",,"rock, alternative",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/gdansk/clubs/lvzvpdmkkzr/,2026-09-22,High,Address only,Metal/rock club pitch,University-adjacent club.
3,B90,Gdańsk,Poland,"ul. Elektryków, Gdansk",https://b90.pl,"rock, metal, alternative, electronic",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/gdansk/venues/lvzvpdmkk/,2026-09-22,High,Address only,Metal/rock club pitch,Industrial shipyard venue; major national/international concerts.
4,Bunkier,Gdańsk,Poland,"ul. Olejarna 3, Gdansk",,"rock, alternative, electronic",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/gdansk/clubs/lvzvpdmkkzr/,2026-09-22,High,Address only,Metal/rock club pitch,Basement club.
5,Drizzly Grizzly,Gdańsk,Poland,"ul. Elektryków 1, Gdansk",https://drizzlygrizzly.pl,"alternative, rock, electronic",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/gdansk/venues/lvzvpdmkk/,2026-09-22,High,Address only,Metal/rock club pitch,Shipyard district concert venue.
6,Klub Muzyczny Parlament,Gdańsk,Poland,"ul. Św. Ducha 2, Gdansk",https://www.parlament.com.pl,"pop, rock, alternative",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/gdansk/clubs/lvzvpdmkkzr/,2026-09-22,High,Address only,Metal/rock club pitch,Long-running concert club.
7,Paszcza Lwa,Gdańsk,Poland,"ul. Kwietna 39, Gdansk",,"rock, alternative",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/gdansk/clubs/lvzvpdmkkzr/,2026-09-22,High,Address only,Metal/rock club pitch,Live club.
8,Protokultura,Gdańsk,Poland,"Niterów 29B, Gdansk",https://protokultura.pl,"electronic, alternative, rock",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/gdansk/clubs/lvzvpdmkkzr/,2026-09-22,High,Address only,Metal/rock club pitch,Cultural/club venue.
9,Stary Maneż,Gdańsk,Poland,"ul. J. Słowackiego 23, Gdansk",https://starymanez.pl,"pop, rock, alternative",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/gdansk/venues/lvzvpdmkk/,2026-09-22,High,Address only,Metal/rock club pitch,Large concert hall.
10,Tkacka Music Club,Gdańsk,Poland,"ul. Tkacka 9, Gdansk",,"rock, pop, dj",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/gdansk/clubs/lvzvpdmkkzr/,2026-09-22,High,Address only,Metal/rock club pitch,Central live music club.
11,Wydział Remontowy,Gdańsk,Poland,"Doki 1, Gdansk",,"rock, alternative, electronic",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/gdansk/clubs/lvzvpdmkkzr/,2026-09-22,High,Address only,Metal/rock club pitch,Shipyard district.
12,Sanity Check Tour,Gorzów Wielkopolski,,,,,,,,,,,,,,,
13,Seiðr 2026,Hradec Králové,,,,,,,,,,,,,,,
14,Pole festiwalowe Zakręć Śmigłem,Kaliszkowice Kaliskie,,,,,,,,,,,,,,,
15,Katofonia,Katowice,Poland,"ul. Mariacka 18a, Katowice",,"rock, jazz, alternative",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/katowice/venues/lvzckdmkk/,2026-09-22,High,Address only,Metal/rock club pitch,Downtown live venue.
16,Klub Muzyczny Faust,Katowice,Poland,"ul. Złota 1, Katowice",,"rock, live, party",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/katowice/venues/lvzckdmkk/,2026-09-22,High,Address only,Metal/rock club pitch,Music club.
17,Królestwo,Katowice,Poland,"Rondo im. gen. Jerzego Ziętka 1, Katowice",,"alternative, electronic, live",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/katowice/clubs/lvzrjdmkkzr/,2026-09-22,Medium,Address only,Alternative/indie live pitch,Cultural club with diverse programming.
18,P23 Katowice,Katowice,Poland,"ul. Porcelanowa 23, Katowice",https://p23.com.pl,"electronic, alternative, live",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/katowice/venues/lvzckdmkk/,2026-09-22,Medium,Address only,Alternative/indie live pitch,Industrial venue at Fabryka Porcelany.
19,Przestrzeń Miejska - Katowice,Katowice,Poland,"ul. Mariacka, Katowice",,"pop, electronic, alternative",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/katowice/venues/lvzckdmkk/,2026-09-22,Medium,Address only,Alternative/indie live pitch,Open/event space.
20,Teatr Old Timers Garage,Katowice,Poland,"Jankego 132, Katowice",,"rock, blues, covers",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/katowice/clubs/lvzckdmkkzr/,2026-09-22,High,Address only,Metal/rock club pitch,Live music/theatre.
21,Walcownia,Katowice,Poland,"11 Listopada 50, Katowice",,"rock, alternative, electronic",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/katowice/venues/lvzckdmkk/,2026-09-22,High,Address only,Metal/rock club pitch,Large industrial event context.
22,Alchemia,Kraków,Poland,"ul. Estery 5, Cracow",https://alchemia.com.pl,"alternative, jazz, experimental",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/cracow/clubs/lvzrjdmkkzr/,2026-09-22,Medium,Address only,Alternative/indie live pitch,Kazimierz cultural venue.
23,Forum Przestrzenie,Kraków,Poland,"ul. Konopnickiej 28, Cracow",https://forumprzestrzenie.com,"electronic, pop, alternative",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/cracow/clubs/lvzrjdmkkzr/,2026-09-22,Medium,Address only,Alternative/indie live pitch,Mixed event venue.
24,Jazz Rock Cafe,Kraków,Poland,"ul. Sławkowska 12, Cracow",,"rock, jazz",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/cracow/clubs/lvzrjdmkkzr/,2026-09-22,High,Address only,Metal/rock club pitch,Rock/jazz oriented bar.
25,Klub Forty Kleparz,Kraków,Poland,"ul. Kamienna 2, Cracow",https://40tk.pl,"rock, alternative, pop",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/cracow/clubs/lvzrjdmkkzr/,2026-09-22,High,Address only,Metal/rock club pitch,Club known for live concerts.
26,Klub Kwadrat,Kraków,Poland,"ul. Skarżyńskiego 1, Cracow",https://www.klubkwadrat.pl,"rock, pop, underground",,biuro@klubkwadrat.pl,,searched: none found,,https://goout.net/en/klub-kwadrat/vzubgb/,2026-09-22,High,Booking email,Metal/rock club pitch,Frequent sold-out concerts by Polish/foreign acts.
27,Klub Piękny Pies,Kraków,Poland,"pl. Wolnica 9, Cracow",,"indie, alternative, electronic",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/cracow/clubs/lvzrjdmkkzr/,2026-09-22,Medium,Address only,Alternative/indie live pitch,Eclectic club.
28,Klub Re,Kraków,Poland,"ul. Świętego Krzyża 4, Cracow",https://www.klubre.pl,"indie, alternative, touring bands",,klubre@gmail.com,,searched: none found,,https://goout.net/en/klub-re/vziikb/,2026-09-22,Medium,Booking email,Alternative/indie live pitch,Small venue notable for touring international indie acts.
29,Klub Studencki Żaczek,Kraków,Poland,"al. 3 Maja 5, Cracow",https://klubzaczek.pl,"rock, alternative, student",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/cracow/clubs/lvzrjdmkkzr/,2026-09-22,High,Address only,Metal/rock club pitch,Student cultural club.
30,Klub Studio,Kraków,Poland,"ul. Budryka 4, Cracow",https://www.klubstudio.pl,"rock, pop, metal, alternative",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/cracow/clubs/lvzrjdmkkzr/,2026-09-22,High,Address only,Metal/rock club pitch,Large student concert venue.
31,Klub Zaścianek,Kraków,Poland,"ul. Rostafińskiego 4, Cracow",https://www.zasciank.pl,"rock, metal, indie",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/cracow/clubs/lvzrjdmkkzr/,2026-09-22,High,Address only,Metal/rock club pitch,Student club with frequent live music.
32,Fabryka Kultury Zgrzyt,Lublin,Poland,"al. Piłsudskiego 13, Lublin",,"rock, metal, alternative",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/lublin/venues/lvzymdmkk/,2026-09-22,High,Address only,Metal/rock club pitch,Key Lublin live-music club; strong target fit.
33,Helium Club,Lublin,Poland,"ul. Hempla 5, Lublin",,"pop, dj, alternative",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/lublin/clubs/lvzymdmkkzr/,2026-09-22,Medium,Address only,Alternative/indie live pitch,Mixed programming.
34,Klub 30,Lublin,Poland,"ul. Jasna 7, Lublin",,"pop, party",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/lublin/clubs/lvzymdmkkzr/,2026-09-22,Low,Address only,Crossover / audience-fit pitch,Pop/nightlife.
35,Klub Graffiti,Lublin,Poland,"ul. Bernardyńska 3, Lublin",https://www.graffiti.lublin.pl,"rock, student, pop",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/lublin/clubs/lvzymdmkkzr/,2026-09-22,High,Address only,Metal/rock club pitch,Historic Lublin club.
36,New Vegas,Lublin,Poland,"ul. Bernardyńska 3, Lublin",,"pop, dj",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/lublin/clubs/lvzymdmkkzr/,2026-09-22,Low,Address only,Crossover / audience-fit pitch,Nightlife.
37,Piękna Pszczoła,Lublin,Poland,"Plac Teatralny 1, Lublin",,"alternative, pop",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/lublin/clubs/lvzymdmkkzr/,2026-09-22,Medium,Address only,Alternative/indie live pitch,Venue at Centre for the Meeting of Cultures cluster.
38,Rock Pub Ramzes,Lublin,Poland,"ul. H. Kołłątaja 3, Lublin",,"rock, metal",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/lublin/clubs/lvzymdmkkzr/,2026-09-22,High,Address only,Metal/rock club pitch,Rock-oriented pub.
39,Sanity Check Tour,Namysłów,,,,,,,,,,,,,,,
40,BaRock Club,Poznań,Poland,"ul. Wielka 9, Poznan",https://www.barockclub.pl,"rock, rock'n'roll",,barockclub@wp.pl,,searched: none found,,https://goout.net/en/barock-club/vzfsib/,2026-09-22,High,Booking email,Metal/rock club pitch,Rock'n'roll pub with concerts.
41,Blue Note,Poznań,Poland,"ul. Kościuszki 79, Poznan",https://bluenote.poznan.pl,"jazz, soul, alternative",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/poznan/clubs/lvzxndmkkzr/,2026-09-22,Medium,Address only,Alternative/indie live pitch,Jazz-first; crossover depending artist.
42,Dragon Social Club,Poznań,Poland,"ul. Zamkowa 3, Poznan",,"alternative, indie, experimental",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/poznan/clubs/lvzxndmkkzr/,2026-09-22,Medium,Address only,Alternative/indie live pitch,Multicultural programming.
43,Klub Muzyczny B17,Poznań,Poland,"Bułgarska 17, Poznan",,"rock, pop, large club shows",1500,,,searched: none found,,https://goout.net/en/klub-muzyczny-b17/vzvjub/,2026-09-22,High,Phone,Metal/rock club pitch,"About 1,500 concert capacity; large professional sound/light system."
44,Klub pod Minogą,Poznań,Poland,"ul. Nowowiejskiego 8, Poznan",,"rock, guitar, eclectic",,minogakoncert@gmail.com,,searched: none found,,https://goout.net/en/klub-pod-minoga/vzykib/,2026-09-22,High,Booking email,Metal/rock club pitch,Long-running guitar-music venue.
45,KontenerART,Poznań,Poland,"ul. Ewangelicka, Poznan",https://kontenerart.pl,"alternative, electronic, indie",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/poznan/clubs/lvzxndmkkzr/,2026-09-22,Medium,Address only,Alternative/indie live pitch,Seasonal culture/event venue.
46,NaFalach,Poznań,Poland,"ul. Wiankowa 3, Poznan",,"pop, electronic, festival",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/poznan/clubs/lvzxndmkkzr/,2026-09-22,Low,Address only,Crossover / audience-fit pitch,Seasonal/open-air.
47,Nocny Targ Towarzyski,Poznań,Poland,"ul. Kolejowa 23, Poznan",,"pop, electronic, alternative",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/poznan/clubs/lvzxndmkkzr/,2026-09-22,Medium,Address only,Alternative/indie live pitch,Large seasonal/event programming.
48,Projekt LAB,Poznań,Poland,"ul. Grochowe Łąki 5, Poznan",,"electronic, techno",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/poznan/clubs/lvzxndmkkzr/,2026-09-22,Low,Address only,Crossover / audience-fit pitch,Primarily electronic.
49,Schron,Poznań,Poland,"ul. Kościuszki 68, Poznan",,"electronic, underground",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/poznan/clubs/lvzxndmkkzr/,2026-09-22,Low,Address only,Crossover / audience-fit pitch,Underground club; crossover possible.
50,Tama,Poznań,Poland,"ul. Niezłomnych 2, Poznan",https://tama.pl,"pop, rock, alternative, electronic",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/poznan/clubs/lvzxndmkkzr/,2026-09-22,High,Address only,Metal/rock club pitch,Major club venue.
51,U Bazyla,Poznań,Poland,"ul. Norwida 18A, Poznan",,"metal, rock, guitar music",,bazyl.klub@poczta.onet.pl,,searched: none found,,https://goout.net/en/u-bazyla/vzmmib/,2026-09-22,High,Booking email,Metal/rock club pitch,Strong metal emphasis; touring guitar bands.
52,Klub Vinyl,Rzeszów,Poland,"Al. Piłsudskiego 31, Rzeszów",,"rock, alternative",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/rzeszow/clubs/lvzukdmkkzr/,2026-09-22,High,Address only,Metal/rock club pitch,Club.
53,Life House,Rzeszów,Poland,"Aleja Tadeusza Rejtana 1, Rzeszów",,"pop, rock, electronic",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/rzeszow/clubs/lvzukdmkkzr/,2026-09-22,High,Address only,Metal/rock club pitch,Club/event space.
54,Lord Jack Rzeszów,Rzeszów,Poland,"Rynek 4, Rzeszów",,"pop, rock, dj",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/rzeszow/clubs/lvzukdmkkzr/,2026-09-22,High,Address only,Metal/rock club pitch,Central club.
55,Lukr Club,Rzeszów,Poland,"Ul. Kopisto 1, Rzeszów",,"pop, electronic",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/rzeszow/clubs/lvzukdmkkzr/,2026-09-22,Low,Address only,Crossover / audience-fit pitch,Large nightlife venue.
56,Pod Palmą,Rzeszów,Poland,"ul. Cicha 4a, Rzeszów",,"rock, alternative, pop",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/rzeszow/clubs/lvzukdmkkzr/,2026-09-22,High,Address only,Metal/rock club pitch,Core live-music target.
