Name,Country,City,Genre,Email,Social,Website,Links,Source_URL,Activity,Research_Date,Status,Confidence,Contact_Type,Contact_Source,Outreach_Readiness,Notes
!T.O.O.H.!,Czechia,,"experimental, technical death metal",,,,,https://www.metalunderground.com/bands/details.cfm?bandid=14167,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
21 Octayne,Germany,Frankfurt,"hard rock, metal",,,,,https://www.metalunderground.com/bands/details.cfm?bandid=15823,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
71TonMan,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=25250,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
8kids,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=24936,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
9MM,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=11210,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
A Cosmic Trail,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=11341,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
A Life Divided,Germany,Munich,"alternative, modern metal",,,,,https://www.metalunderground.com/bands/details.cfm?bandid=11719,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
A Million Miles,Germany,Hamburg,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=15307,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
A Secret Revealed,Germany,,metalcore,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=20444,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
A Thin Red Line,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=1934,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
A Traitor Like Judas,Germany,Braunschweig,metalcore,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=2570,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
A.W.A.S.,Germany,Bonn,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=4461,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Abandoned,Germany,Darmstadt,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=5126,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Abhorrent Castigation,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=13227,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Above Aurora,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=23164,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Abrogation,Germany,,"death, thrash metal",,,,,https://www.metalunderground.com/bands/details.cfm?bandid=32884,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,2026 club listings
Absorb,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=11328,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Abstinenz,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=9132,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Abstract Essence,Czechia,,progressive death metal,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=10150,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Abstract Virus,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=12103,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Abused Majesty,Poland,Białystok,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=2082,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Abysal,Poland,Włocławek,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=1112,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Access Denied,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=14546,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Achsar,Slovakia,,"black, death, folk metal",,,,,https://www.burnfestopenair.sk/program/,2026 activity verified,2026-09-23,Active,High,,,Contact page/source needed,2026 Burn Fest lineup
Acid Drinkers,Poland,Poznan,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=6458,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Acid Force,Slovakia,Banská Bystrica,"speed metal, thrash",,,,,https://www.metalunderground.com/bands/details.cfm?bandid=31405,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Acrybia,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=7975,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Active Core,Poland,Warsaw,"death, thrash metal",,,,,https://www.metal-archives.com/bands/Active_Core/3540407090,Active — Metal Archives record checked 2026-09-23,2026-09-23,Active,High,,,,Current record/addition verified in 2026.
Ad Rem,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=16560,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Aeon Winds,Slovakia,,atmospheric black metal,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=15188,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Aeonsphere,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=14382,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Afekth,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=14614,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
After Evolution,Czechia,Zlín,heavy metal,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=30288,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Ahumada Granujo,Czechia,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=14168,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Ahumado Granujo,Czechia,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=14634,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Al Sirat,Poland,Ostroleka,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=5159,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Alacrity,Poland,Warsaw,"crossover, death metal",,,,,https://www.metal-archives.com/bands/Alacrity/3540565510,Active — Metal Archives record checked 2026-09-23,2026-09-23,Active,High,,,,Current record/addition verified in 2026.
Alazka,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=25045,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Algetic,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=14286,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Alkaloid,Germany,Erlangen,"progressive, technical death metal",,,,,https://www.metalunderground.com/bands/details.cfm?bandid=19602,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
All Will Know,Germany,Darmstadt,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=31742,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Almanac,Germany,,"power metal, symphonic",,,,,https://www.metalunderground.com/bands/details.cfm?bandid=20415,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Alpha Tiger,Germany,Frieberg,"heavy, power metal",,,,,https://www.metalunderground.com/bands/details.cfm?bandid=14519,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Alpinist,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=10697,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Altars Ablaze,Czechia,Prague,black metal,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=32623,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Amazing Grave,Germany,Marburg,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=13365,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Amorphous,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=15927,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Amplified Memory,Germany,Munich,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=17404,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Andsolis,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=19786,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Angaschmaeng,Germany,Munich,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=9236,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Angrrsth,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=32624,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Anima,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=6845,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Anima Damnata,Poland,Wroclaw,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=23976,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Anime Torment,Czechia,,"death, metalcore",,,,,https://www.tourforger.com/concerts/metal/czech-republic/2026,2026 activity verified,2026-09-23,Active,High,,,Contact page/source needed,2026 festival/tour listing
Animo Aeger,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=11968,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Ann My Guard,Czechia,,"gothic metal, modern",,,,,https://www.metalunderground.com/bands/details.cfm?bandid=23479,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Annisokay,Germany,,metalcore,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=18358,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Another Hero's Fall,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=18074,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Anti Tank Nun,Poland,Goleniów,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=16026,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Antichrist,Germany,Köln,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=2501,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Antigama,Poland,Warsaw,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=4111,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research,
Antilles,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=29886,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Anyone's Daughter,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=2736,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Aparath,Czechia,,"death metal, thrash",,,,,https://www.tourforger.com/concerts/metal/czech-republic/2026,2026 activity verified,2026-09-23,Active,High,,,Contact page/source needed,2026 festival/tour listing
Apostate,Czechia,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=11796,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Arch of Hell,Czechia,,deathcore,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=10151,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Arkona,Poland,,folk metal,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=23898,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Armagedon,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=16759,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Ars Magna Umbrae,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=29536,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Ascendancy,Czechia,,power metal,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=10152,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Asenblut,Germany,Göttingen,viking metal,,,,,https://www.tourforger.com/concerts/heavy-metal/germany/2026,2026 activity verified,2026-09-23,Active,High,Official site lists contact & booking,https://www.asenblut.com/en/,Contact page/source needed,"Official site lists contact/booking; address is redacted in the accessible crawl, so verify on site."
Asgaard,Poland,Lewin Brzeski,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=29779,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Ass To Mouth,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=17427,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Atonement,Poland,,,,https://www.facebook.com/atonementbandpoland,,,https://www.facebook.com/atonementbandpoland,Current public source checked 2026-09-23,2026-09-23,Active,High,,,,
