Name,Country,City,Genre,Email,Social,Website,Links,Source_URL,Activity,Research_Date,Status,Confidence,Contact_Type,Contact_Source,Outreach_Readiness,Notes
Empatic,Poland,Ostroleka,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=12492,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Enemy,Slovakia,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=1912,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Energy Jar,Poland,Wrocław,,,https://www.instagram.com/energyjar/,,,https://energyjarhead.bandcamp.com/album/energy-jar-st-lp,2026 releases and live dates verified,2026-09-23,Active,High
Enter Chaos,Poland,Elbl¹g,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=1132,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Entropia,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=19364,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Epitome,Poland,Rzeszów,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=1110,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Equilibrium,Germany,,"folk metal, viking",,,,,https://www.metalunderground.com/bands/details.cfm?bandid=2609,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Eradicator,Germany,Lennestadt,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=29209,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Erazor,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=20270,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Eremit,Germany,Osnabrück,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=26545,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Esazlesa,Czechia,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=15875,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Escape From,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=8317,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
