Name,Kind,City,Email,Destination_URL,Source_URL,Active,Verified,Accepts_Outreach,Do_Not_Contact,Relationship_Score,Relevance_Pct,Confidence_Pct
onboard music berlin | Facebook,facebook_page,Berlin,,https://www.facebook.com/onboardmusic.berlin,https://www.facebook.com/onboardmusic.berlin,t,t,t,f,65,85,85
Nightmarer | Facebook,facebook_page,Berlin,,https://www.facebook.com/nightmarercult/,https://www.facebook.com/nightmarercult/,t,t,t,f,65,85,85
Tango.Berlin,facebook_community,Berlin,,https://www.facebook.com/groups/tango.berlin/,https://www.facebook.com/groups/tango.berlin/,t,t,t,f,65,85,85
Peter Komma Der - YouTube,youtube_channel,Berlin,,https://www.youtube.com/channel/UCDdhY9jG3rChHndiRZPzAPQ,https://www.youtube.com/channel/UCDdhY9jG3rChHndiRZPzAPQ,t,t,t,f,65,85,85
Biz,facebook_page,Berlin,,https://www.facebook.com/biz/prenzlauer-berg-berlin-de/talent-agent/,https://www.facebook.com/biz/prenzlauer-berg-berlin-de/talent-agent/,t,t,t,f,65,85,85
berlin music commission | Facebook,facebook_page,Berlin,,https://www.facebook.com/BerlinMusicCommission,https://www.facebook.com/BerlinMusicCommission,t,t,t,f,65,85,85
The Redemption | Proms Caught Fire | Core Community,local_music_resource,Berlin,,https://corecommunity.bandcamp.com/track/the-redemption,https://corecommunity.bandcamp.com/track/the-redemption,t,t,t,f,65,85,85
Photo & Music Workshop Berlin: Create at EMOP,facebook_page,Berlin,,https://www.facebook.com/gokonfetti/,https://www.facebook.com/gokonfetti/,t,t,t,f,65,95,95
Photo & Music Workshop Berlin: Create at EMOP,instagram_creator,Berlin,,https://www.instagram.com/gokonfetti/,https://www.instagram.com/gokonfetti/,t,t,t,f,65,95,95
PRAGUE to BERLIN train from $16 (€13) with České dráhy,youtube_channel,Berlin,,https://www.youtube.com/@Simon-Andersen,https://www.youtube.com/@Simon-Andersen,t,t,t,f,65,85,85
@jkonradschmidt,instagram_creator,Berlin,,https://www.instagram.com/jkonradschmidt/,https://www.instagram.com/jkonradschmidt/,t,t,t,f,65,95,95
Vikingur Olafsson,instagram_creator,Berlin,,https://www.instagram.com/VikingurOlafsson/,https://www.instagram.com/VikingurOlafsson/,t,t,t,f,65,95,95
Lucerne Festival,instagram_creator,Berlin,,https://www.instagram.com/LucerneFestival/,https://www.instagram.com/LucerneFestival/,t,t,t,f,65,95,95
@liandro_siringoringo,instagram_creator,Berlin,,https://www.instagram.com/liandro_siringoringo/,https://www.instagram.com/liandro_siringoringo/,t,t,t,f,65,95,95
Berlin – the city where anything is possible,facebook_page,Berlin,,https://www.facebook.com/GermanyTravelDestination,https://www.facebook.com/GermanyTravelDestination,t,t,t,f,65,85,85
Berlin – the city where anything is possible,instagram_creator,Berlin,,https://www.instagram.com/germanytourism/,https://www.instagram.com/germanytourism/,t,t,t,f,65,85,85
Berlin – the city where anything is possible,youtube_channel,Berlin,,https://www.youtube.com/user/germanytourism,https://www.youtube.com/user/germanytourism,t,t,t,f,65,85,85
