Name,Kind,City,Email,Destination_URL,Source_URL,Active,Verified,Accepts_Outreach,Do_Not_Contact,Relationship_Score,Relevance_Pct,Confidence_Pct
PercivalMusicVEVO - YouTube,youtube_channel,Bydgoszcz,,https://www.youtube.com/channel/UC1TpBVBaX70GK1WiRi7nneg,https://www.youtube.com/channel/UC1TpBVBaX70GK1WiRi7nneg,t,t,t,f,65,85,85
People,facebook_page,Bydgoszcz,,https://www.facebook.com/people/Wacken-METAL-Battle-Polska/100064782546377/,https://www.facebook.com/people/Wacken-METAL-Battle-Polska/100064782546377/,t,t,t,f,65,85,85
Mariusz Lemański - YouTube,youtube_channel,Bydgoszcz,,https://www.youtube.com/channel/UCfd6qUfWw_pAsykeC-Zs5tA,https://www.youtube.com/channel/UCfd6qUfWw_pAsykeC-Zs5tA,t,t,t,f,65,85,85
52 Rockers - YouTube,youtube_channel,Bydgoszcz,,https://www.youtube.com/channel/UC42Y_8h_zqUq8fcvpC8QaQw,https://www.youtube.com/channel/UC42Y_8h_zqUq8fcvpC8QaQw,t,t,t,f,65,85,85
Szymon Urbanowicz - YouTube,youtube_channel,Bydgoszcz,,https://www.youtube.com/@szymurbanowicz,https://www.youtube.com/@szymurbanowicz,t,t,t,f,65,85,85
Paderewski International Piano Competition - YouTube,youtube_channel,Bydgoszcz,,https://www.youtube.com/channel/UCS_tV06lrXa-yLDZaFTLSrg,https://www.youtube.com/channel/UCS_tV06lrXa-yLDZaFTLSrg,t,t,t,f,65,85,85
Koncertywmck,facebook_community,Bydgoszcz,,https://www.facebook.com/groups/koncertywmck/,https://www.facebook.com/groups/koncertywmck/,t,t,t,f,65,85,85
Spcofjoeomalley,facebook_community,Bydgoszcz,,https://www.facebook.com/groups/spcofjoeomalley/,https://www.facebook.com/groups/spcofjoeomalley/,t,t,t,f,65,85,85
Bydgoska.Mlodziez,facebook_community,Bydgoszcz,,https://www.facebook.com/groups/bydgoska.mlodziez/,https://www.facebook.com/groups/bydgoska.mlodziez/,t,t,t,f,65,85,85
bydgoszcz.pl | Bydgoszcz | Facebook,facebook_page,Bydgoszcz,,https://www.facebook.com/bydgoszczpl,https://www.facebook.com/bydgoszczpl,t,t,t,f,65,85,85
Metalwpolsce,facebook_community,Bydgoszcz,,https://www.facebook.com/groups/metalwpolsce/,https://www.facebook.com/groups/metalwpolsce/,t,t,t,f,65,85,85
čelit bydgoszcz | Facebook,facebook_page,Bydgoszcz,,https://www.facebook.com/CelitBydgoszcz,https://www.facebook.com/CelitBydgoszcz,t,t,t,f,65,85,85
bydgoszcz skupaut | Facebook,facebook_page,Bydgoszcz,,https://www.facebook.com/bydgoszczskupaut/,https://www.facebook.com/bydgoszczskupaut/,t,t,t,f,65,85,85
Bydgoszcz,youtube_channel,Bydgoszcz,,https://www.youtube.com/user/BcnCreativeTourism,https://www.youtube.com/user/BcnCreativeTourism,t,t,t,f,65,85,85
Bydgoszcz,facebook_page,Bydgoszcz,,https://www.facebook.com/CreativeTourismNetwork,https://www.facebook.com/CreativeTourismNetwork,t,t,t,f,65,85,85
Bydgoszcz,instagram_creator,Bydgoszcz,,https://www.instagram.com/creativetourism/,https://www.instagram.com/creativetourism/,t,t,t,f,65,85,85
"Bydgoszcz, Poland",facebook_page,Bydgoszcz,,https://www.facebook.com/sharer/sharer.php?u=https://randomcity.net/,https://www.facebook.com/sharer/sharer.php?u=https://randomcity.net/,t,t,t,f,65,95,95
Facebook,facebook_page,Bydgoszcz,,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.jigsawplanet.com%2F%3Frc%3Dplay%26pid%3D0af1c7ffa796,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.jigsawplanet.com%2F%3Frc%3Dplay%26pid%3D0af1c7ffa796,t,t,t,f,65,85,85
Academy of Music Bydgoszcz Poland by Wolskaola,facebook_page,Bydgoszcz,,https://www.facebook.com/Jigsaw.Planet,https://www.facebook.com/Jigsaw.Planet,t,t,t,f,65,85,85
