Name,Kind,City,Email,Destination_URL,Source_URL,Active,Verified,Accepts_Outreach,Do_Not_Contact,Relationship_Score,Relevance_Pct,Confidence_Pct
Promoter: Jazzhaus Booking | RockTimes,promoter,Erfurt,,https://www.rocktimes.info/tag/promoter-jazzhaus-booking/,https://www.rocktimes.info/tag/promoter-jazzhaus-booking/,t,t,t,f,65,65,65
Promoter: Jazzhaus Booking,facebook_page,Erfurt,,https://www.facebook.com/RockTimes-221373354574430/,https://www.facebook.com/RockTimes-221373354574430/,t,t,t,f,65,95,95
Promoter-Straubing - Blaumond24,promoter,Erfurt,info@blaumond24.de,https://www.blaumond24.de/promoter/promoter-straubing/,https://www.blaumond24.de/promoter/promoter-straubing/,t,t,t,f,65,65,65
Promoter,tiktok_creator,Erfurt,info@blaumond24.de,https://www.tiktok.com/@blaumond24,https://www.tiktok.com/@blaumond24,t,t,t,f,65,85,85
SATURN & MediaMarkt - gemeinsam in die Zukunft!,promoter,Erfurt,,https://www.saturn.de/de/specials/mediamarktsaturn,https://www.saturn.de/de/specials/mediamarktsaturn,t,t,t,f,65,65,65
TURN ON Magazin: In tagram,instagram_creator,Erfurt,,https://www.instagram.com/turnonde/,https://www.instagram.com/turnonde/,t,t,t,f,65,95,95
TURN ON Magazin: TikTok,tiktok_creator,Erfurt,,https://www.tiktok.com/@turnon_magazin,https://www.tiktok.com/@turnon_magazin,t,t,t,f,65,85,85
TURN ON Magazin: YouTube,youtube_channel,Erfurt,,https://www.youtube.com/@TURNON,https://www.youtube.com/@TURNON,t,t,t,f,65,95,95
"Erfurt, Města, kultura a tradice | Dovolená v Německu",cultural_hub,Erfurt,,https://www.dovolenavnemecku.cz/post/erfurt,https://www.dovolenavnemecku.cz/post/erfurt,t,t,t,f,65,55,55
"Klaus Kugel - drums, percussion",cultural_hub,Erfurt,,https://www.klauskugel.com/past_concerts/,https://www.klauskugel.com/past_concerts/,t,t,t,f,65,55,55
"mam mam asian fusion | Asiatisches Restaurant | Michaelisstraße 42, Erfurt, Germany",local_creator,Erfurt,mammam.erfurt@gmail.com,https://www.mammam-erfurt.com/,https://www.mammam-erfurt.com/,t,t,t,f,65,55,55
mam mam asian fusion,facebook_page,Erfurt,mammam.erfurt@gmail.com,https://www.facebook.com/profile.php?id=61557098844815,https://www.facebook.com/profile.php?id=61557098844815,t,t,t,f,65,85,85
mam mam asian fusion,instagram_creator,Erfurt,mammam.erfurt@gmail.com,https://www.instagram.com/mammam.erfurt/,https://www.instagram.com/mammam.erfurt/,t,t,t,f,65,85,85
"Dennis F. Arnold – graphic / UX UI designer, website creator... | LinkedIn",local_creator,Erfurt,,https://de.linkedin.com/in/dennis-f-arnold,https://de.linkedin.com/in/dennis-f-arnold,t,t,t,f,65,55,55
Kirchen im Evangelischen Kirchenkreis Erfurt (2011),local_creator,Erfurt,,https://www.fotograf-erfurt.de/portfolio/kirchen,https://www.fotograf-erfurt.de/portfolio/kirchen,t,t,t,f,65,55,55
In tagram Fotograf,instagram_creator,Erfurt,,https://www.instagram.com/fotograf_matthias_schmidt/,https://www.instagram.com/fotograf_matthias_schmidt/,t,t,t,f,65,85,85
In tagram Architektur,instagram_creator,Erfurt,,https://www.instagram.com/architekturfotograf_schmidt/,https://www.instagram.com/architekturfotograf_schmidt/,t,t,t,f,65,85,85
YOUTUBE MUSIC,local_music_resource,Erfurt,,https://music.youtube.com/channel/UCfN1GtRECx9mejg6OCwPBJg,https://music.youtube.com/channel/UCfN1GtRECx9mejg6OCwPBJg,t,t,t,f,65,95,95
"Erfurt, Germany: Mail order fashion company Zalando closes logistics center with 2,700 employees - World Socialist Web Site",podcast,Erfurt,,https://www.wsws.org/en/articles/2026/01/17/zala-j17.html,https://www.wsws.org/en/articles/2026/01/17/zala-j17.html,t,t,t,f,65,65,65
"Erfurt, Germany: Mail order fashion company Zalando closes logistics center with 2,700 employees",facebook_page,Erfurt,,https://www.facebook.com/wsws.org,https://www.facebook.com/wsws.org,t,t,t,f,65,95,95
"Erfurt, Germany: Mail order fashion company Zalando closes logistics center with 2,700 employees",instagram_creator,Erfurt,,https://www.instagram.com/worldsocialistwebsite/,https://www.instagram.com/worldsocialistwebsite/,t,t,t,f,65,95,95
