Sheet,Key_Type,Key,Reason,Source_URL,Verified_Date
Beacons,name+city,PercivalMusicVEVO - YouTube||Bydgoszcz,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,"Loona live ""El Tiburon"" HITY NA Czasie 28.08.2011 Bydgoszcz…||Bydgoszcz",Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,52 Rockers - YouTube||Bydgoszcz,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,Krzysztof Herdzin meets Ignacy Jazz Paderewski - Polish Fantasy…||Bydgoszcz,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,Link to facebook.com||Bydgoszcz,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,Paderewski International Piano Competition - YouTube||Bydgoszcz,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,[Mecz] Zawisza Bydgoszcz - Orlęta Aleksandrów Kujawski…||Bydgoszcz,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,"COLLAGE - God, Moonshine, War is over - Kuźnia, Bydgoszcz...||Bydgoszcz",Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,enTrance 2008 - Hymn - Aly & Fila - Poland Bydgoszcz... - YouTube||Bydgoszcz,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,"Jean Michel Jarre - Teo & Tea, Bydgoszcz, Poland 15/11/11 - YouTube||Bydgoszcz",Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,Mariusz Lemański - YouTube||Bydgoszcz,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,Pendragon Love over Fear tour Poland Bydgoszcz... - YouTube||Bydgoszcz,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,Audrey Chen - concert from MÓZG - YouTube||Bydgoszcz,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,"Rafał Konikowski (NOL) - Furia (Demo, Instrumental) (2025 Remaster)...||Bydgoszcz",Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,Vivaldi – Storm (Summer) | Epic Bandura & Accordion - YouTube||Bydgoszcz,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,Szymon Urbanowicz - YouTube||Bydgoszcz,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,"Paolo Angeli, Takumi Fukushima - Bydgoszcz, Poland... - YouTube||Bydgoszcz",Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,czystek bydgoszcz | Facebook||Bydgoszcz,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,Link to facebook.com||Bydgoszcz,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,Why Foreigners DON’T GO Here in POLAND | 12 HOURS... - YouTube||Bydgoszcz,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,Link to instagram.com||Bydgoszcz,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,RDM Renata Zielińska Bydgoszcz | Bydgoszcz | Facebook||Bydgoszcz,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,"Good Vibes Off the Tourist Track in Bydgoszcz, Poland - YouTube||Bydgoszcz",Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,17.01.2026 „MOVE THE F**K OUT”... - YouTube||Bydgoszcz,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,bydgoszcz.pl | Bydgoszcz | Facebook||Bydgoszcz,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,Tangerine Dream - Poland 1983 (Dreaming On Ice Stadium... - YouTube||Warsaw,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,Warsaw in 4K - YouTube||Warsaw,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,warsaw cut | Facebook||Warsaw,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,"LOVEBITES live in Warsaw (Poland), #14 An addition... - YouTube||Warsaw",Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,WRK | Warsaw | Facebook||Warsaw,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,"Metallica: M72 World Tour - Warsaw, Poland - July 5, 2024…||Warsaw",Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,Warsaw🇵🇱 #setyoursails #metal #warsaw #poland #metalcore...||Warsaw,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,"Warsaw, Złote Tarasy - YouTube||Warsaw",Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,"Judas Priest Live in Warsaw - Full Show (July 28th, 2026…||Warsaw",Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,Enslave Them Stars - Life Forgotten - 2026.05.30 Warszawa Metal Cave||Warsaw,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,"Reaction To Soulfly ""frontlines"" live In Warsaw, Poland July... - YouT...||Warsaw",Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,"World Music Day Warsaw, Pamela Howland - YouTube||Warsaw",Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,"Metallica Live Concert ""Sen o Warszawie"" WorldWired Tour 2019…||Warsaw",Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,Warsaw - Everything you want - YouTube||Warsaw,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,Five Finger Death Punch - Torwar - Warsaw - Poland - 12.02.2020…||Warsaw,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,Warsaw National Philharmonic Orchestra||Warsaw,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,Noizz.pl | Warsaw | Facebook||Warsaw,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,Szerokie Bary | Warsaw | Facebook||Warsaw,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,"Audio Forte: HiFi, Stereo, muzyka, winyle, gramofony | Warsaw…||Warsaw",Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,"NEMZZZ Warsaw Tickets, Palladium, 31 Oct 2026 – Songkick||Warsaw",Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,WARSAW VLOG | Polish food | matcha | friends & work - YouTube||Warsaw,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,Varšavský koncert (Warsaw Concerto) - YouTube||Warsaw,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,Rolling Quartz 롤링쿼츠 3rd EU Tour Episode 01... - YouTube||Warsaw,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,Yagody ( Ягоди) - Fragments of the concert. Poland 09.06.22…||Łódź,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,Twenty One Pilots - live at Lodz Poland - YouTube||Łódź,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,Tomasz Konieczny - Bösendorfer Ambassador sings Richard Strauss…||Łódź,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,Queen + Adam Lambert 6.11.2017 Atlas arena Łódź Poland Radio...||Łódź,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,Wojtek Mazolewski - YouTube||Łódź,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,First time in Łódź - 50 cent - The Final Lap Tour Atlas Arena... - YouTube||Łódź,Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,"A$AP Rocky performs “Sandman” Live in Łódź, Poland 🇵... - YouTube||Łódź",Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
Beacons,name+city,"Oxygène 4 - Jean-Michel Jarre in concert - Atlas Arena, Łódź, Poland||Łódź",Rollback low-quality CityPass 0004/0005,CityPass 0004/0005 2026-09-23,2026-09-23
