Sheet,Key_Type,Key,Reason,Source_URL,Verified_Date
Beacons,name+city,PercivalMusicVEVO - YouTube||Bydgoszcz,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,"Loona live ""El Tiburon"" HITY NA Czasie 28.08.2011 Bydgoszcz…||Bydgoszcz",Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,52 Rockers - YouTube||Bydgoszcz,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,Krzysztof Herdzin meets Ignacy Jazz Paderewski - Polish Fantasy…||Bydgoszcz,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,Link to facebook.com||Bydgoszcz,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,Paderewski International Piano Competition - YouTube||Bydgoszcz,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,[Mecz] Zawisza Bydgoszcz - Orlęta Aleksandrów Kujawski…||Bydgoszcz,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,"COLLAGE - God, Moonshine, War is over - Kuźnia, Bydgoszcz...||Bydgoszcz",Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,enTrance 2008 - Hymn - Aly & Fila - Poland Bydgoszcz... - YouTube||Bydgoszcz,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,"Jean Michel Jarre - Teo & Tea, Bydgoszcz, Poland 15/11/11 - YouTube||Bydgoszcz",Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,Mariusz Lemański - YouTube||Bydgoszcz,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,Pendragon Love over Fear tour Poland Bydgoszcz... - YouTube||Bydgoszcz,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,Audrey Chen - concert from MÓZG - YouTube||Bydgoszcz,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,"Rafał Konikowski (NOL) - Furia (Demo, Instrumental) (2025 Remaster)...||Bydgoszcz",Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,Vivaldi – Storm (Summer) | Epic Bandura & Accordion - YouTube||Bydgoszcz,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,Szymon Urbanowicz - YouTube||Bydgoszcz,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,"Paolo Angeli, Takumi Fukushima - Bydgoszcz, Poland... - YouTube||Bydgoszcz",Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,czystek bydgoszcz | Facebook||Bydgoszcz,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,Link to facebook.com||Bydgoszcz,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,Why Foreigners DON’T GO Here in POLAND | 12 HOURS... - YouTube||Bydgoszcz,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,Link to instagram.com||Bydgoszcz,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,RDM Renata Zielińska Bydgoszcz | Bydgoszcz | Facebook||Bydgoszcz,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,"Good Vibes Off the Tourist Track in Bydgoszcz, Poland - YouTube||Bydgoszcz",Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,17.01.2026 „MOVE THE F**K OUT”... - YouTube||Bydgoszcz,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,bydgoszcz.pl | Bydgoszcz | Facebook||Bydgoszcz,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,Tangerine Dream - Poland 1983 (Dreaming On Ice Stadium... - YouTube||Warsaw,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,Warsaw in 4K - YouTube||Warsaw,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,warsaw cut | Facebook||Warsaw,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,"LOVEBITES live in Warsaw (Poland), #14 An addition... - YouTube||Warsaw",Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,WRK | Warsaw | Facebook||Warsaw,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,"Metallica: M72 World Tour - Warsaw, Poland - July 5, 2024…||Warsaw",Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,Warsaw🇵🇱 #setyoursails #metal #warsaw #poland #metalcore...||Warsaw,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,"Warsaw, Złote Tarasy - YouTube||Warsaw",Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,"Judas Priest Live in Warsaw - Full Show (July 28th, 2026…||Warsaw",Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,Enslave Them Stars - Life Forgotten - 2026.05.30 Warszawa Metal Cave||Warsaw,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,"Reaction To Soulfly ""frontlines"" live In Warsaw, Poland July... - YouT...||Warsaw",Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,"World Music Day Warsaw, Pamela Howland - YouTube||Warsaw",Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,"Metallica Live Concert ""Sen o Warszawie"" WorldWired Tour 2019…||Warsaw",Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,Warsaw - Everything you want - YouTube||Warsaw,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,Five Finger Death Punch - Torwar - Warsaw - Poland - 12.02.2020…||Warsaw,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,Warsaw National Philharmonic Orchestra||Warsaw,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,Noizz.pl | Warsaw | Facebook||Warsaw,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,Szerokie Bary | Warsaw | Facebook||Warsaw,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,"Audio Forte: HiFi, Stereo, muzyka, winyle, gramofony | Warsaw…||Warsaw",Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,"NEMZZZ Warsaw Tickets, Palladium, 31 Oct 2026 – Songkick||Warsaw",Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,WARSAW VLOG | Polish food | matcha | friends & work - YouTube||Warsaw,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,Varšavský koncert (Warsaw Concerto) - YouTube||Warsaw,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,Rolling Quartz 롤링쿼츠 3rd EU Tour Episode 01... - YouTube||Warsaw,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,Yagody ( Ягоди) - Fragments of the concert. Poland 09.06.22…||Łódź,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,Twenty One Pilots - live at Lodz Poland - YouTube||Łódź,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,Tomasz Konieczny - Bösendorfer Ambassador sings Richard Strauss…||Łódź,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,Queen + Adam Lambert 6.11.2017 Atlas arena Łódź Poland Radio...||Łódź,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,Wojtek Mazolewski - YouTube||Łódź,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,First time in Łódź - 50 cent - The Final Lap Tour Atlas Arena... - YouTube||Łódź,Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,"A$AP Rocky performs “Sandman” Live in Łódź, Poland 🇵... - YouTube||Łódź",Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
Beacons,name+city,"Oxygène 4 - Jean-Michel Jarre in concert - Atlas Arena, Łódź, Poland||Łódź",Remove low-quality CityPass 0004 beacon,CityPass 0004 / 2026-09-23,2026-09-23
