Sheet,Key_Type,Key,Reason,Source_URL,Verified_Date
Peer Bands,name,30zeta,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.facebook.com/30zeta,2026-09-23
Peer Bands,name,3Winyle,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.facebook.com/3Winyle666/,2026-09-23
Peer Bands,name,ADHD,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.facebook.com/profile.php?id=61581845823956,2026-09-23
Peer Bands,name,ARTyści,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.youtube.com/channel/UCtSJfIPDr_rACx8k0aPYCwg,2026-09-23
Peer Bands,name,Against Humanity,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.facebook.com/profile.php?id=61552787326799,2026-09-23
Peer Bands,name,Alaneq,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.youtube.com/@alaneq777,2026-09-23
Peer Bands,name,Altmusic Wrocław,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.altmusic.wroclaw.pl/,2026-09-23
Peer Bands,name,Antoniów Rock Fest 2026,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.facebook.com/antoniowrockfest/,2026-09-23
Peer Bands,name,Antyradio / Turbo Top,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.antyradio.pl/,2026-09-23
Peer Bands,name,Arthur Samuel,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.facebook.com/ArthurSamuelOfficial/,2026-09-23
Peer Bands,name,Artyści Nieznani,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.facebook.com/ArtysciNieznani,2026-09-23
Peer Bands,name,Bangarang Festival,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.bangarangfestival.com/,2026-09-23
Peer Bands,name,Black Waves Festival,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://blackwavesfest.pl/,2026-09-23
Peer Bands,name,Blood n Bone Festival,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.facebook.com/bloodandbone.festival,2026-09-23
Peer Bands,name,Bloodstock metal 2 the masses,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.facebook.com/bloodstockmetal2themassespoland,2026-09-23
Peer Bands,name,Blue Moon Festival,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.facebook.com/bluemoonfest,2026-09-23
Peer Bands,name,Brat Zielony MC,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.facebook.com/BratZielonyMC/,2026-09-23
Peer Bands,name,Breathe,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.facebook.com/profile.php?id=61576488292362,2026-09-23
Peer Bands,name,Burn The World,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://burntheworld.com/,2026-09-23
Peer Bands,name,Cieszanów Rock Festiwal,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.facebook.com/rockfestiwal,2026-09-23
Peer Bands,name,Craft `Music City Opole,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://craftmusiccity.pl/,2026-09-23
Peer Bands,name,DK Słowianin / Ashfest,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://slowianin.org/,2026-09-23
Peer Bands,name,Dangerdog Music Reviews,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://dangerdog.com/submissions.php,2026-09-23
Peer Bands,name,Death By Metal Radio,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://deathbymetalradio.com/,2026-09-23
Peer Bands,name,Deny,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.youtube.com/channel/UCVdW5UYRkbNDWMxC3jVvhDQ,2026-09-23
Peer Bands,name,Desert Fest,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.desertfest.de/contact/,2026-09-23
Peer Bands,name,Desertfest Belgium,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.facebook.com/desertfestbelgium,2026-09-23
Peer Bands,name,Desertfest London,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.facebook.com/DesertfestLondon,2026-09-23
Peer Bands,name,Dorota Kołodziej,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.facebook.com/dorotakolodziejofficial,2026-09-23
Peer Bands,name,EASTFILLY FEST,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.facebook.com/EASTFILLYFEST,2026-09-23
Peer Bands,name,Echo Gorzowa,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.echogorzowa.pl/,2026-09-23
Peer Bands,name,Eclipse Records — Metal First / Discovery playlists,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.eclipserecords.com/spotify-playlist-submission/,2026-09-23
Peer Bands,name,El Kapuczino,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.facebook.com/Adei-Front-290782550958343,2026-09-23
Peer Bands,name,EmisKa,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.youtube.com/@emiska777,2026-09-23
Peer Bands,name,European Metal Index,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://eumetalindex.com/submit,2026-09-23
Peer Bands,name,FALKON,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.festiwalfalkon.pl/,2026-09-23
Peer Bands,name,Fafik,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.facebook.com/FaFiKPNN/,2026-09-23
Peer Bands,name,Festiwal Mocnych Brzmień im. Ryśka Bieńka,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.facebook.com/festiwalmocnychbrzmien,2026-09-23
Peer Bands,name,Field Invasion,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.facebook.com/Field.Invasion.Festival/,2026-09-23
Peer Bands,name,Fire In The Sky Festival,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://fireintheskyfest.pl/,2026-09-23
Peer Bands,name,Fląder Festiwal,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,http://www.fladerfestiwal.pl,2026-09-23
Peer Bands,name,Fortun,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.facebook.com/profile.php?id=61576054444176,2026-09-23
Peer Bands,name,GRASZ BÓR Festiwal,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.facebook.com/graszborfestiwal,2026-09-23
Peer Bands,name,Galicja Productions,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.galicja.net/,2026-09-23
Peer Bands,name,Gorzowianin.com,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://gorzowianin.com/,2026-09-23
Peer Bands,name,Gorzuf,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://gorzuf.pl/,2026-09-23
Peer Bands,name,Góra Rocka Festiwal,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://gora-rocka.pl/,2026-09-23
Peer Bands,name,Głośniej.pl,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://glosniej.pl/,2026-09-23
Peer Bands,name,HaloGramy,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.facebook.com/profile.php?id=61586215628543,2026-09-23
Peer Bands,name,Heidelberg Deathfest,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.facebook.com/heidelbergdeathfest/,2026-09-23
Peer Bands,name,Hela Bertz,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.instagram.com/helabertzband,2026-09-23
Peer Bands,name,Helicon Metal Promotions,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.heliconmetal.com/,2026-09-23
Peer Bands,name,Hell Over hamburg,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://helloverhammaburg.blogspot.com/,2026-09-23
Peer Bands,name,Hells Bells Festival,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://hellsbells.pl/,2026-09-23
Peer Bands,name,HellsHorde,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://hellshorde.com/,2026-09-23
Peer Bands,name,Höllenlärm — Radio Unerhört Marburg,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.radio-rum.de/web/sendung/musik/hoellenlaerm/,2026-09-23
Peer Bands,name,Høstsabbat,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.facebook.com/hostsabbat,2026-09-23
Peer Bands,name,IMMA,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,http://www.youtube.com/@imma_music,2026-09-23
Peer Bands,name,Jakub Sas,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.youtube.com/@FenOmenn-f4k,2026-09-23
Peer Bands,name,Juwenalia Gdańskie,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://juwenaliagdanskie.pl/,2026-09-23
Peer Bands,name,Juwenalia UEK,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://juwenaliauek.pl/przeglad-kapel-rockowych/,2026-09-23
Peer Bands,name,KRL,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.youtube.com/@mlodykorul,2026-09-23
Peer Bands,name,KVLT.pl,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://kvlt.pl/,2026-09-23
Peer Bands,name,Kasia Lipert,Full row-by-row audit: not sufficiently verified as a currently active PL/DE/CZ/SK band or another entity type.,https://www.facebook.com/kasialipertviolin,2026-09-23
