Name,Country,City,Genre,Email,Social,Website,Links,Source_URL,Activity,Research_Date,Status,Confidence,Contact_Type,Contact_Source,Outreach_Readiness,Notes
Bethlehem,Germany,Grevenbroich,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=893,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Betrayal,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=23274,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Betrayed,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=3009,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Beyond,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=16349,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Beyond The Black,Germany,Mannheim,symphonic metal,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=23603,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Beyond The Bridge,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=12036,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Beyond The Void,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=1073,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Biesy,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=25107,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Bitterness,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=2293,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Blach Messiah,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=3807,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Black Abyss,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=1620,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Black Altar,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=8634,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Black Autumn,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=9866,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Black River,Poland,,"hard rock, stoner",,,,,https://www.metalunderground.com/bands/details.cfm?bandid=9108,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Blackosh,Czechia,,"black, thrash metal",,,,,https://www.metalunderground.com/bands/details.cfm?bandid=21330,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Blackshard,Czechia,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=19793,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Blaze Of Perdition,Poland,,black metal,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=20383,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Blind Guardian,Germany,Krefeld,power metal,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=228,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,Active directory/background source
Blindead 23,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=10831,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Blood God,Germany,,death metal,,,,,https://www.tourforger.com/concerts/heavy-metal/germany/2026,2026 activity verified,2026-09-23,Active,High,,,Contact page/source needed,2026 club listings
Bloodthirst,Poland,Poznan,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=4839,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Blue Mental,Slovakia,Bratislava,sludge metal,,,,,https://www.pohodafestival.sk/en/news/blue-mental-will-bring-their-atmospheric-sludge-sound-to-pohoda,2026 activity verified,2026-09-23,Active,High,,,Contact page/source needed,2026 Pohoda performance
Bluefaces,Poland,,,,https://www.facebook.com/bluefacesband/,,,https://www.facebook.com/bluefacesband/,2026 live performance verified,2026-09-23,Active,High,,,,
Boguslaw Balcerak's Crylord,Poland,Warsaw,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=11718,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Bohemyst,Czechia,,black metal,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=29472,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Bordel,Czechia,Stoibro,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=4778,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Brain Scorcher,Poland,Toruń,"death metal, thrash",,,,,https://www.metal-archives.com/bands/Brain_Scorcher/3540575888,Active — Metal Archives record checked 2026-09-23,2026-09-23,Active,High,,,,Current record/addition verified in 2026.
Brutally Deceased,Czechia,,death metal,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=11163,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
But,Czechia,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=15236,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
CETI,Poland,Poznan,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=19257,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Cad,Slovakia,,"hardcore metal, thrash",,,,,https://www.metalunderground.com/bands/details.cfm?bandid=20274,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Calm Hatchery,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=9655,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Can't Wait Forever,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=20380,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Carnal Disfigurement,Czechia,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=28625,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,
Catbreath,Germany,,heavy metal,,,,,https://www.tourforger.com/concerts/heavy-metal/germany/2026,2026 activity verified,2026-09-23,Active,High,,,Contact page/source needed,2026 tour listings
Cemetery Of Scream,Poland,Cracow,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=6982,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Centurion,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=12884,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Chain Reaction,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=9889,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Chainsaw,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=7121,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
