Name,Country,City,Genre,Email,Social,Website,Links,Source_URL,Activity,Research_Date,Status,Confidence,Contact_Type,Contact_Source,Outreach_Readiness,Notes
Fireleaf,Germany,Stuttgart,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=21499,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Firtan,Germany,Lörrach,black metal,info@district-19.com,,,,https://www.metalunderground.com/bands/details.cfm?bandid=25997,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,Booking,https://linktr.ee/firtan,Email found,2026 tour/festival activity
Fjoergyn,Germany,,symphonic black metal,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=23130,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Flammenmeer,Germany,,"black metal, viking",,,,,https://www.tourforger.com/concerts/black-metal/germany/2026,2026 activity verified,2026-09-23,Active,High,,,Contact page/source needed,2026 tour / club listings
Fleshcrawl,Germany,Ulm,death metal,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=110,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Fleshworks,Germany,Osnabrück,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=25679,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Fleshworld,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=19312,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Flowing Tears,Germany,Wadgassen,gothic metal,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=203,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Forensick,Germany,Horb am Neckar,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=18584,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Forest Shouts Back,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=20300,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Forger Emaciated,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=16010,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Fractal,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=18369,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Free Fall,Czechia,,heavy metal,,,,,https://www.tourforger.com/concerts/metal/czech-republic/2026,2026 activity verified,2026-09-23,Active,High,,,Contact page/source needed,2026 festival/tour listing
Frontside,Poland,,metalcore,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=32719,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Fresh public activity evidence; still retain directory row.
Furia,Poland,,avant-garde black metal,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=3795,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Gallileous,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=9149,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Garden of Sadness,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=11634,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Gemini Abyss,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=17412,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Gortal,Poland,Warsaw,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=6747,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Grassity,Slovakia,,progressive metal,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=11404,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Grimlord,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=17879,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Grind Your Brain,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=16857,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Gru,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=16500,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Gruzja,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=28000,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
