Name,Country,City,Genre,Email,Social,Website,Links,Source_URL,Activity,Research_Date,Status,Confidence,Contact_Type,Contact_Source,Outreach_Readiness,Notes
Pighead,Germany,Berlin,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=12531,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Pink Cream 69,Germany,Karlsruhe,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=981,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Place Vendome,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=16708,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Placenta Powerfist,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=19061,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Plainride,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=24317,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Plenty of Nails,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=18767,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Pokuta,Poland,Rzeszów,black metal,,,,,https://www.metal-archives.com/bands/Pokuta/3540571893,Active — Metal Archives record checked 2026-09-23,2026-09-23,Active,High,,,,Current record/addition verified in 2026.
Poppy Seed Grinder,Czechia,Praha,death metal,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=1547,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Porta Nigra,Germany,Koblenz,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=14240,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Postmodern Coffin,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=8934,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Poverty's No Crime,Germany,Twistringen,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=25021,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Power World,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=5658,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Powergame,Germany,Bielefeld,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=29901,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Powerwolf,Germany,Saarland,power metal,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=3157,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,2026 active + current news
Powerworld,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=4399,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Praise the Plague,Germany,Berlin,black metal,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=26317,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Pregierz,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=20057,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
President Evil,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=7538,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Primal Fear,Germany,Esslingen,"heavy, power metal",,,,,https://www.metalunderground.com/bands/details.cfm?bandid=299,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Privateer,Poland,Cracow,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=7980,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Profanity,Germany,,death metal,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=995,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Profanus Nathrakh,Germany,Saarland,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=7895,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
