Name,Kind,City,Email,Destination_URL,Source_URL,Active,Verified,Accepts_Outreach,Do_Not_Contact,Relationship_Score,Relevance_Pct,Confidence_Pct
China’s Music Scene Has a Passport Problem - RADII,local_music_resource,Berlin,,https://news.google.com/rss/articles/CBMidEFVX3lxTFBKSG9UQ3VJS2RtRFdvUnZEbk5IaXMxZ1ItM1VBMlM2aEt6NldwN2xxeHBMZTVIa2VfV2JRU1pzeXkzbXh6SUx3Z3JPbktYMHRnbUUtT281akZuSHhWdG9NTWIyVXpGTmcwRl9iWkc0X0hyQkt1?oc=5,https://news.google.com/rss/articles/CBMidEFVX3lxTFBKSG9UQ3VJS2RtRFdvUnZEbk5IaXMxZ1ItM1VBMlM2aEt6NldwN2xxeHBMZTVIa2VfV2JRU1pzeXkzbXh6SUx3Z3JPbktYMHRnbUUtT281akZuSHhWdG9NTWIyVXpGTmcwRl9iWkc0X0hyQkt1?oc=5,t,t,t,f,60,65,65
Middle East Ceasefire Collapse: Why Global DJ Touring Could Face a Structural Reset - Change Underground,local_music_resource,Berlin,,https://news.google.com/rss/articles/CBMitAFBVV95cUxQTlNyNjRtMGFwOFU0bmoxeFpIX2Z2dHhvcXJSTFExeUhvdUVybmVfcW13b3l2RC14Mnd5Tmo0dmZMLUJtQjV3S1FUcUdYTUZJZHIxNXFDemc0N0RwNmR4T1loRFQtOE5vQkxzZFR4NTEwc0Z0bmRQNktXYWNvbzQ2ejl5NmplR1FXQXZxRnN4M1lfSkxCNGpzZDJtd21hMTY1UW85U1RiUk9hSzBvSVFhb1dESW8?oc=5,https://news.google.com/rss/articles/CBMitAFBVV95cUxQTlNyNjRtMGFwOFU0bmoxeFpIX2Z2dHhvcXJSTFExeUhvdUVybmVfcW13b3l2RC14Mnd5Tmo0dmZMLUJtQjV3S1FUcUdYTUZJZHIxNXFDemc0N0RwNmR4T1loRFQtOE5vQkxzZFR4NTEwc0Z0bmRQNktXYWNvbzQ2ejl5NmplR1FXQXZxRnN4M1lfSkxCNGpzZDJtd21hMTY1UW85U1RiUk9hSzBvSVFhb1dESW8?oc=5,t,t,t,f,60,65,65
REVERSE and SchneidersKeller collaborate on London workshops · News ⟋ RA - Resident Advisor,local_music_resource,Berlin,,https://news.google.com/rss/articles/CBMiPEFVX3lxTE9XSkVDZmllWW1xYndFT0JTeEIyOWtiek4yVGhPbDZNN2ZJbE5saWF3S1poU2htTTlJak0ycA?oc=5,https://news.google.com/rss/articles/CBMiPEFVX3lxTE9XSkVDZmllWW1xYndFT0JTeEIyOWtiek4yVGhPbDZNN2ZJbE5saWF3S1poU2htTTlJak0ycA?oc=5,t,t,t,f,60,65,65
The 42 Greatest Independent Music Venues in the UK - timeout.com,venue,Berlin,,https://news.google.com/rss/articles/CBMihwFBVV95cUxOSE82VzdmczloUkViWEZSWi1aSGN1ZFRvWjNSbmR6Vk5zZGNlRVhqZ29OWk1vS1BFWUhBSHdsVDdiNzlIZmRkeEVsTE5BRGZlRF92M0ZYMlFJY0Q0a09xYldqNXRfZlp0a241NWZPZE1NTWV6NDRESjR1V3ZjeGdHX2pneDBsN3M?oc=5,https://news.google.com/rss/articles/CBMihwFBVV95cUxOSE82VzdmczloUkViWEZSWi1aSGN1ZFRvWjNSbmR6Vk5zZGNlRVhqZ29OWk1vS1BFWUhBSHdsVDdiNzlIZmRkeEVsTE5BRGZlRF92M0ZYMlFJY0Q0a09xYldqNXRfZlp0a241NWZPZE1NTWV6NDRESjR1V3ZjeGdHX2pneDBsN3M?oc=5,t,t,t,f,60,65,65
A new jazz venue is coming to Uptown in Minneapolis - Star Tribune,venue,Berlin,,https://news.google.com/rss/articles/CBMivAFBVV95cUxQTEZMSlY2QTYycWtJS0p6UDZBRVh3UnZRaUptRWZXekhlZFVvWUtrMm5WYXVPZFU2UTBoUlBlMENYdklReFZyc0YycDI1N01kSmFvVVJ5MThmc2UxMzdUd1k3RTctR2FvcnVJcVdtcVI2X0c1SkUyRGEzdlItaENZN1lQSU9uUk5HY2RRZjJlQ1hDaVFMSE5QanRaM2VDWm5ZQWx0Ni04LWdpNUpBTmJRY1FuY3JUYzBiUVVGeA?oc=5,https://news.google.com/rss/articles/CBMivAFBVV95cUxQTEZMSlY2QTYycWtJS0p6UDZBRVh3UnZRaUptRWZXekhlZFVvWUtrMm5WYXVPZFU2UTBoUlBlMENYdklReFZyc0YycDI1N01kSmFvVVJ5MThmc2UxMzdUd1k3RTctR2FvcnVJcVdtcVI2X0c1SkUyRGEzdlItaENZN1lQSU9uUk5HY2RRZjJlQ1hDaVFMSE5QanRaM2VDWm5ZQWx0Ni04LWdpNUpBTmJRY1FuY3JUYzBiUVVGeA?oc=5,t,t,t,f,60,65,65
Is Afro House Killing Dance Music? - CULTR,local_music_resource,Berlin,,https://news.google.com/rss/articles/CBMibkFVX3lxTFB1dTZLRFdBRDlrTWNEZnNNSF9hLW9FQ3ZlaGtlNU5SeU53M0wyN0lhdXBGZ3U1YkNJVnhuLUszQmRXQkY2dGZKOS14M2pxZVNOYVd4SHhkdGNlMTMwZ3Bmc2dLYnhsNlBBYVNRcUlB?oc=5,https://news.google.com/rss/articles/CBMibkFVX3lxTFB1dTZLRFdBRDlrTWNEZnNNSF9hLW9FQ3ZlaGtlNU5SeU53M0wyN0lhdXBGZ3U1YkNJVnhuLUszQmRXQkY2dGZKOS14M2pxZVNOYVd4SHhkdGNlMTMwZ3Bmc2dLYnhsNlBBYVNRcUlB?oc=5,t,t,t,f,60,65,65
How the Middle East War Could Signal the Return of Localised Club Culture - Change Underground,venue,Berlin,,https://news.google.com/rss/articles/CBMiqAFBVV95cUxOTFM1TnpGVVduZ3pkNERMbHZ4ckJmWDN2bTk1Y29uZ3pqY0ZGbmZ2U0dyMkljNUdMc3U3QndpUXkzWEhBdjNEVjhFSjBuVlo2a1BtXzdpZXJ2MktZYTJSNF9Id25XT0VrV2M1a2pyVDVZeUE4ZjVXMDFtU3YwX2dHbVBIYjA0VHVQVG9lNlhFb1JlS1M3Z2NWdDktc0VzdkNQR0UzQWxFVjc?oc=5,https://news.google.com/rss/articles/CBMiqAFBVV95cUxOTFM1TnpGVVduZ3pkNERMbHZ4ckJmWDN2bTk1Y29uZ3pqY0ZGbmZ2U0dyMkljNUdMc3U3QndpUXkzWEhBdjNEVjhFSjBuVlo2a1BtXzdpZXJ2MktZYTJSNF9Id25XT0VrV2M1a2pyVDVZeUE4ZjVXMDFtU3YwX2dHbVBIYjA0VHVQVG9lNlhFb1JlS1M3Z2NWdDktc0VzdkNQR0UzQWxFVjc?oc=5,t,t,t,f,60,65,65
Jimi Hendrix Tour Reaches Berlin in October - AD HOC NEWS,local_music_resource,Berlin,,https://news.google.com/rss/articles/CBMinwFBVV95cUxPbzJZMWc1VDhaa0tQUklXbEZZbUEtTmVHUEpBMmo2VmZQMDVPN0ZPMzQyN0NFNGI1My1kLU5jRWlqMnJud3pRa3A1M1pXTWQzWFBMdHBTYVFuV0kwQXpTX0NsQlVBM1paRTFIYl9hQ0xqUFk0blEwYzdnOFIydi1tTFR0aGtJOVBMQ0hYOGtobmNtT2E2c3p0NU8yUHI1VUk?oc=5,https://news.google.com/rss/articles/CBMinwFBVV95cUxPbzJZMWc1VDhaa0tQUklXbEZZbUEtTmVHUEpBMmo2VmZQMDVPN0ZPMzQyN0NFNGI1My1kLU5jRWlqMnJud3pRa3A1M1pXTWQzWFBMdHBTYVFuV0kwQXpTX0NsQlVBM1paRTFIYl9hQ0xqUFk0blEwYzdnOFIydi1tTFR0aGtJOVBMQ0hYOGtobmNtT2E2c3p0NU8yUHI1VUk?oc=5,t,t,t,f,60,65,65
New Faces 2024: Spotlight on 10 Emerging Talents from Former Yugoslavia Region - Sigic.si,local_music_resource,Berlin,,https://news.google.com/rss/articles/CBMic0FVX3lxTE9IUTFmVmFuQ0ZFV3hWVTNwa3lfUXJKWFY1S0RUaHJLcWt3T3VlQXUxM1ctZTBKTVNMelFsUmhWWlNLOXNKUWhxQXJRaTd6cGEtYUw5Vi1pMHpYMy1nYnN1TkU1TDd4Rzd4ZkRfbjBmbjdIa0U?oc=5,https://news.google.com/rss/articles/CBMic0FVX3lxTE9IUTFmVmFuQ0ZFV3hWVTNwa3lfUXJKWFY1S0RUaHJLcWt3T3VlQXUxM1ctZTBKTVNMelFsUmhWWlNLOXNKUWhxQXJRaTd6cGEtYUw5Vi1pMHpYMy1nYnN1TkU1TDd4Rzd4ZkRfbjBmbjdIa0U?oc=5,t,t,t,f,60,65,65
"Akasha - Las Dalias, Ibiza - Ibiza Spotlight",local_music_resource,Berlin,,https://news.google.com/rss/articles/CBMiX0FVX3lxTFBZa3JfdVBmVU1fcWJOQ0swQkpjeER4ZHROMzRBWkpOckwwNXY0N0FsODczSFB1T3p2RVpLMVZiVkVLY1RlUVlSTmNRZGEtNEl0VGxmU0tHelZJalhseWRV?oc=5,https://news.google.com/rss/articles/CBMiX0FVX3lxTFBZa3JfdVBmVU1fcWJOQ0swQkpjeER4ZHROMzRBWkpOckwwNXY0N0FsODczSFB1T3p2RVpLMVZiVkVLY1RlUVlSTmNRZGEtNEl0VGxmU0tHelZJalhseWRV?oc=5,t,t,t,f,60,65,65
