Name,Kind,City,Email,Destination_URL,Source_URL,Active,Verified,Accepts_Outreach,Do_Not_Contact,Relationship_Score,Relevance_Pct,Confidence_Pct
Tangerine Dream - Poland 1983 (Dreaming On Ice Stadium... - YouTube,youtube_channel,Warsaw,,https://www.youtube.com/watch?v=_53uiSG0GO4,https://www.youtube.com/watch?v=_53uiSG0GO4,t,t,t,f,65,85,85
Warsaw in 4K - YouTube,youtube_channel,Warsaw,,https://www.youtube.com/watch?v=HZOhgIrPH4s,https://www.youtube.com/watch?v=HZOhgIrPH4s,t,t,t,f,65,85,85
warsaw cut | Facebook,facebook_page,Warsaw,,https://www.facebook.com/warsawcut/,https://www.facebook.com/warsawcut/,t,t,t,f,65,85,85
"LOVEBITES live in Warsaw (Poland), #14 An addition... - YouTube",youtube_channel,Warsaw,,https://www.youtube.com/watch?v=KkFY8CGrNCI,https://www.youtube.com/watch?v=KkFY8CGrNCI,t,t,t,f,65,85,85
WRK | Warsaw | Facebook,facebook_page,Warsaw,,https://www.facebook.com/wrk4822/,https://www.facebook.com/wrk4822/,t,t,t,f,65,85,85
"Metallica: M72 World Tour - Warsaw, Poland - July 5, 2024…",youtube_channel,Warsaw,,https://www.youtube.com/watch?v=edH-M2OUYX8,https://www.youtube.com/watch?v=edH-M2OUYX8,t,t,t,f,65,85,85
Warsaw🇵🇱 #setyoursails #metal #warsaw #poland #metalcore...,youtube_channel,Warsaw,,https://www.youtube.com/shorts/IjTuQaQYEZ0,https://www.youtube.com/shorts/IjTuQaQYEZ0,t,t,t,f,65,85,85
"Warsaw, Złote Tarasy - YouTube",youtube_channel,Warsaw,,https://www.youtube.com/watch?v=teCMPqHxKXI,https://www.youtube.com/watch?v=teCMPqHxKXI,t,t,t,f,65,85,85
"Judas Priest Live in Warsaw - Full Show (July 28th, 2026…",youtube_channel,Warsaw,,https://www.youtube.com/watch?v=rdJQmY_dp7A,https://www.youtube.com/watch?v=rdJQmY_dp7A,t,t,t,f,65,95,95
Enslave Them Stars - Life Forgotten - 2026.05.30 Warszawa Metal Cave,youtube_channel,Warsaw,,https://www.youtube.com/watch?v=8BZqGTx5kqA,https://www.youtube.com/watch?v=8BZqGTx5kqA,t,t,t,f,65,95,95
"Reaction To Soulfly ""frontlines"" live In Warsaw, Poland July... - YouT...",youtube_channel,Warsaw,,https://www.youtube.com/watch?v=ULi0PIBbsTU,https://www.youtube.com/watch?v=ULi0PIBbsTU,t,t,t,f,65,85,85
"World Music Day Warsaw, Pamela Howland - YouTube",youtube_channel,Warsaw,,https://www.youtube.com/watch?v=94sz9Y82gkg,https://www.youtube.com/watch?v=94sz9Y82gkg,t,t,t,f,65,85,85
"Metallica Live Concert ""Sen o Warszawie"" WorldWired Tour 2019…",youtube_channel,Warsaw,,https://www.youtube.com/watch?v=HpcPxDhGf4s,https://www.youtube.com/watch?v=HpcPxDhGf4s,t,t,t,f,65,85,85
Warsaw - Everything you want - YouTube,youtube_channel,Warsaw,,https://www.youtube.com/watch?v=4MbQaybB7lQ,https://www.youtube.com/watch?v=4MbQaybB7lQ,t,t,t,f,65,85,85
Five Finger Death Punch - Torwar - Warsaw - Poland - 12.02.2020…,youtube_channel,Warsaw,,https://www.youtube.com/watch?v=RQsvTlb-mfA,https://www.youtube.com/watch?v=RQsvTlb-mfA,t,t,t,f,65,85,85
Warsaw National Philharmonic Orchestra,youtube_channel,Warsaw,,https://music.youtube.com/channel/UC1K5bPN4Zxp2FtOHBD7TZVA,https://music.youtube.com/channel/UC1K5bPN4Zxp2FtOHBD7TZVA,t,t,t,f,65,85,85
Noizz.pl | Warsaw | Facebook,facebook_page,Warsaw,,https://www.facebook.com/NOIZZPolska,https://www.facebook.com/NOIZZPolska,t,t,t,f,65,85,85
Szerokie Bary | Warsaw | Facebook,facebook_page,Warsaw,,https://www.facebook.com/szerokiebarywawa,https://www.facebook.com/szerokiebarywawa,t,t,t,f,65,85,85
"Audio Forte: HiFi, Stereo, muzyka, winyle, gramofony | Warsaw…",facebook_page,Warsaw,,https://www.facebook.com/AudioForte/,https://www.facebook.com/AudioForte/,t,t,t,f,65,85,85
"NEMZZZ Warsaw Tickets, Palladium, 31 Oct 2026 – Songkick",venue,Warsaw,,https://www.songkick.com/concerts/43346165-nemzzz-at-palladium,https://www.songkick.com/concerts/43346165-nemzzz-at-palladium,t,t,t,f,65,95,95
WARSAW VLOG | Polish food | matcha | friends & work - YouTube,youtube_channel,Warsaw,,https://www.youtube.com/watch?v=ZYOC3mwxKK8,https://www.youtube.com/watch?v=ZYOC3mwxKK8,t,t,t,f,65,85,85
Varšavský koncert (Warsaw Concerto) - YouTube,youtube_channel,Warsaw,,https://www.youtube.com/watch?v=ctuImkk-QqE,https://www.youtube.com/watch?v=ctuImkk-QqE,t,t,t,f,65,85,85
Rolling Quartz 롤링쿼츠 3rd EU Tour Episode 01... - YouTube,youtube_channel,Warsaw,,https://www.youtube.com/watch?v=zP2bz7aj7ME,https://www.youtube.com/watch?v=zP2bz7aj7ME,t,t,t,f,65,85,85
