Name,Kind,City,Email,Destination_URL,Source_URL,Active,Verified,Accepts_Outreach,Do_Not_Contact,Relationship_Score,Relevance_Pct,Confidence_Pct
bydgoszcz music | Facebook,facebook_page,Bydgoszcz,,https://www.facebook.com/bydgoszczmusic,https://www.facebook.com/bydgoszczmusic,t,t,t,f,65,85,85
Bydgoszcz.COM,facebook_page,Bydgoszcz,,https://www.facebook.com/bydgoszczcom/,https://www.facebook.com/bydgoszczcom/,t,t,t,f,65,85,85
Czystek Tomasz Cudak Czyszczenie Tapicerek Bydgoszcz telefon: 600-612-613 | Bydgoszcz,facebook_page,Bydgoszcz,,https://www.facebook.com/czystekbydgoszcz/,https://www.facebook.com/czystekbydgoszcz/,t,t,t,f,65,85,85
KS Bydgoszcz Archers,facebook_page,Bydgoszcz,,https://www.facebook.com/BydgoszczArchers,https://www.facebook.com/BydgoszczArchers,t,t,t,f,65,85,85
Bydgoskie Impresje Muzyczne - Bydgoszcz Musical Impressions | Bydgoszcz,facebook_page,Bydgoszcz,,https://www.facebook.com/bim.bydgoszcz,https://www.facebook.com/bim.bydgoszcz,t,t,t,f,65,85,85
Celit.pl | Bydgoszcz,facebook_page,Bydgoszcz,,https://www.facebook.com/CelitBydgoszcz,https://www.facebook.com/CelitBydgoszcz,t,t,t,f,65,85,85
Erisauta.pl,facebook_page,Bydgoszcz,,https://www.facebook.com/bydgoszczskupaut/,https://www.facebook.com/bydgoszczskupaut/,t,t,t,f,65,85,85
Koncert Walentynkowy - Polish Gentlemen (Bydgoszcz),event_calendar,Bydgoszcz,,https://www.muzilla.pl/koncert-koncert-walentynkowy-polish-gentlemen-27969/,https://www.muzilla.pl/koncert-koncert-walentynkowy-polish-gentlemen-27969/,t,t,t,f,65,55,55
PKP Intercity,facebook_page,Bydgoszcz,,http://facebook.com/koleopl,http://facebook.com/koleopl,t,t,t,f,65,95,95
PKP Intercity,instagram_creator,Bydgoszcz,,http://instagram.com/koleo.pl,http://instagram.com/koleo.pl,t,t,t,f,65,95,95
PKP Intercity,tiktok_creator,Bydgoszcz,,https://www.tiktok.com/@koleo.pl,https://www.tiktok.com/@koleo.pl,t,t,t,f,65,85,85
