Name,Kind,City,Email,Destination_URL,Source_URL,Active,Verified,Accepts_Outreach,Do_Not_Contact,Relationship_Score,Relevance_Pct,Confidence_Pct
"10 dni, 45 wydarzeń i 20 lokalizacji w całym mieście, czyli Łódź Wielu Kultur",facebook_page,Łódź,,https://www.facebook.com/lodzwielukultur,https://www.facebook.com/lodzwielukultur,t,t,t,f,65,85,85
https://www.facebook.com/lodzwielukultur,facebook_page,Łódź,,https://www.facebook.com/lodzwielukultur,https://www.facebook.com/lodzwielukultur,t,t,t,f,65,85,85
https://www.instagram.com/lodzwielukultur/,instagram_creator,Łódź,,https://www.instagram.com/lodzwielukultur/,https://www.instagram.com/lodzwielukultur/,t,t,t,f,65,85,85
Przed nami Łódź Summer Festival. Idealna darmowa impreza dla fanów muzyki,facebook_page,Łódź,jacek.walewski@innpoland.pl,https://www.facebook.com/innpoland,https://www.facebook.com/innpoland,t,t,t,f,65,95,95
Przed nami Łódź Summer Festival. Idealna darmowa impreza dla fanów muzyki,instagram_creator,Łódź,jacek.walewski@innpoland.pl,https://www.instagram.com/innpoland.pl/,https://www.instagram.com/innpoland.pl/,t,t,t,f,65,95,95
Przed nami Łódź Summer Festival. Idealna darmowa impreza dla fanów muzyki,tiktok_creator,Łódź,jacek.walewski@innpoland.pl,https://www.tiktok.com/@innpolandpl,https://www.tiktok.com/@innpolandpl,t,t,t,f,65,85,85
Przed nami Łódź Summer Festival. Idealna darmowa impreza dla fanów muzyki,youtube_channel,Łódź,jacek.walewski@innpoland.pl,https://www.youtube.com/@INNPoland_,https://www.youtube.com/@INNPoland_,t,t,t,f,65,95,95
Łódź: EC1 Łódź,facebook_page,Łódź,edukacja@artdecogroup.eu,https://www.facebook.com/taniecPOLSKA/,https://www.facebook.com/taniecPOLSKA/,t,t,t,f,65,95,95
Wytwórnia,instagram_creator,Łódź,biuro@wytwornia.pl,https://www.instagram.com/klub_wytwornia/,https://www.instagram.com/klub_wytwornia/,t,t,t,f,65,95,95
Wytwórnia,facebook_page,Łódź,biuro@wytwornia.pl,https://www.facebook.com/Wytwornia,https://www.facebook.com/Wytwornia,t,t,t,f,65,95,95
Poluzjanci,youtube_channel,Łódź,,https://www.youtube.com/@biletyna,https://www.youtube.com/@biletyna,t,t,t,f,65,95,95
Poluzjanci,facebook_page,Łódź,,https://www.facebook.com/biletyna/,https://www.facebook.com/biletyna/,t,t,t,f,65,95,95
Poluzjanci,tiktok_creator,Łódź,,https://www.tiktok.com/@biletyna,https://www.tiktok.com/@biletyna,t,t,t,f,65,85,85
Poluzjanci,instagram_creator,Łódź,,https://www.instagram.com/biletyna_pl/,https://www.instagram.com/biletyna_pl/,t,t,t,f,65,95,95
Atrakcje Łódź Summer Festival 2026,facebook_page,Łódź,,https://www.facebook.com/arena.lodz/,https://www.facebook.com/arena.lodz/,t,t,t,f,65,95,95
Atrakcje Łódź Summer Festival 2026,instagram_creator,Łódź,,https://www.instagram.com/atlasarena/,https://www.instagram.com/atlasarena/,t,t,t,f,65,95,95
Atrakcje Łódź Summer Festival 2026,tiktok_creator,Łódź,,https://www.tiktok.com/@atlasarenalodz,https://www.tiktok.com/@atlasarenalodz,t,t,t,f,65,85,85
Zdjęcia,facebook_page,Łódź,biuro@centrumdialogu.com,https://www.facebook.com/centrumdialogulodz/photos,https://www.facebook.com/centrumdialogulodz/photos,t,t,t,f,65,85,85
„WE” World Orchestra. Grzech Piotrowski,facebook_page,Łódź,biuro@centrumdialogu.com,https://www.facebook.com/centrumdialogulodz/,https://www.facebook.com/centrumdialogulodz/,t,t,t,f,65,85,85
"Są nowi organizatorzy dwóch koncertów, które we wrześniu miał organizować Follow The Step",facebook_page,Łódź,,https://facebook.com/ShiningBeatsPL,https://facebook.com/ShiningBeatsPL,t,t,t,f,65,85,85
"Są nowi organizatorzy dwóch koncertów, które we wrześniu miał organizować Follow The Step",instagram_creator,Łódź,,https://www.instagram.com/shiningbeats,https://www.instagram.com/shiningbeats,t,t,t,f,65,85,85
Going.,facebook_page,Łódź,,https://www.facebook.com/goingapp?__cft__[0]=AZUIbDcOyw8pzOR_-PC0kTRkEch5R68NuqWlSa6VSI_x5Ret5YVxBzEdAc8i5ZGp2fkQrfSB7JmAcKrHRaibQKzZLB22mLSyrqkhtt6nOB5WwQlDokdUxtkmnZ67aF51ClRXcujarQh4geyfU8iVICNGjsA-PChP_o7wS5Bwv6SIxh3hwT5BRAUvi6cA4ZIlfo0&__tn__=-]K-R,https://www.facebook.com/goingapp?__cft__[0]=AZUIbDcOyw8pzOR_-PC0kTRkEch5R68NuqWlSa6VSI_x5Ret5YVxBzEdAc8i5ZGp2fkQrfSB7JmAcKrHRaibQKzZLB22mLSyrqkhtt6nOB5WwQlDokdUxtkmnZ67aF51ClRXcujarQh4geyfU8iVICNGjsA-PChP_o7wS5Bwv6SIxh3hwT5BRAUvi6cA4ZIlfo0&__tn__=-]K-R,t,t,t,f,65,85,85
Potrzebny zespół/muzyk. | [WOKAL] [ŁÓDŹ / WAWA / Okolice],facebook_community,Łódź,,https://www.facebook.com/groups/1429349763952309/permalink/2492701604283781/,https://www.facebook.com/groups/1429349763952309/permalink/2492701604283781/,t,t,t,f,65,85,85
Prawie 200 lat historii zapisanej na Dunajcu... Dziś spływ…,facebook_page,Łódź,,https://www.facebook.com/61556261233299/videos/prawie-200-lat-historii-zapisanej-na-dunajcu-%EF%B8%8Fdzi%C5%9B-sp%C5%82yw-prze%C5%82omem-dunajca-jest-/28460429496909111/,https://www.facebook.com/61556261233299/videos/prawie-200-lat-historii-zapisanej-na-dunajcu-%EF%B8%8Fdzi%C5%9B-sp%C5%82yw-prze%C5%82omem-dunajca-jest-/28460429496909111/,t,t,t,f,65,85,85
Dariusz Pietrzykowski,instagram_creator,Łódź,,https://www.instagram.com/gooutcz/,https://www.instagram.com/gooutcz/,t,t,t,f,65,95,95
Dariusz Pietrzykowski,facebook_page,Łódź,,https://www.facebook.com/gooutcesko/,https://www.facebook.com/gooutcesko/,t,t,t,f,65,95,95
Dariusz Pietrzykowski,youtube_channel,Łódź,,https://www.youtube.com/user/gooutcz,https://www.youtube.com/user/gooutcz,t,t,t,f,65,95,95
Dariusz Pietrzykowski,tiktok_creator,Łódź,,https://www.tiktok.com/@gooutcz,https://www.tiktok.com/@gooutcz,t,t,t,f,65,85,85
