Name,Kind,City,Email,Destination_URL,Source_URL,Active,Verified,Accepts_Outreach,Do_Not_Contact,Relationship_Score,Relevance_Pct,Confidence_Pct
Nótaband Brno | Brno,facebook_page,Brno,,https://www.facebook.com/people/N%C3%B3taband-Brno/100086177749348/,https://www.facebook.com/people/N%C3%B3taband-Brno/100086177749348/,t,t,t,f,65,85,85
Svaťa Kotas band | Brno,facebook_page,Brno,,https://www.facebook.com/people/Sva%C5%A5a-Kotas-band/61578029446943/,https://www.facebook.com/people/Sva%C5%A5a-Kotas-band/61578029446943/,t,t,t,f,65,85,85
Hudba Rex Brno,facebook_page,Brno,,https://www.facebook.com/people/Hudba-Rex-Brno/61590014917821/,https://www.facebook.com/people/Hudba-Rex-Brno/61590014917821/,t,t,t,f,65,85,85
BRNO - Legendární hity kapely Smokie a Chrise Normana!,facebook_page,Brno,,https://www.facebook.com/www.smokietributeband.sk/videos/brno-hity-smokie-a-chrise-normana-live-koncert/1554291629335451/,https://www.facebook.com/www.smokietributeband.sk/videos/brno-hity-smokie-a-chrise-normana-live-koncert/1554291629335451/,t,t,t,f,65,85,85
Košt | Brno,facebook_page,Brno,,https://www.facebook.com/people/Ko%C5%A1t/100087286954006/,https://www.facebook.com/people/Ko%C5%A1t/100087286954006/,t,t,t,f,65,85,85
KytarovkaBrno - YouTube,youtube_channel,Brno,,https://www.youtube.com/@KytarovkaBrno,https://www.youtube.com/@KytarovkaBrno,t,t,t,f,65,85,85
Metropol kapela hudební skupina živá hudba,facebook_page,Brno,,https://www.facebook.com/people/Metropol-kapela-hudebn%C3%AD-skupina-%C5%BEiv%C3%A1-hudba/100063871740244/,https://www.facebook.com/people/Metropol-kapela-hudebn%C3%AD-skupina-%C5%BEiv%C3%A1-hudba/100063871740244/,t,t,t,f,65,85,85
Hudba V Brně - YouTube,youtube_channel,Brno,,https://www.youtube.com/channel/UCqTyJOgVUjZ2oUj-OMxmBHA,https://www.youtube.com/channel/UCqTyJOgVUjZ2oUj-OMxmBHA,t,t,t,f,65,85,85
Kultura v BRNĚ - YouTube,youtube_channel,Brno,,https://www.youtube.com/channel/UCBViJ9VjVz3TpV80pk5teGA,https://www.youtube.com/channel/UCBViJ9VjVz3TpV80pk5teGA,t,t,t,f,65,85,85
Koncerty v Brně,instagram_creator,Brno,,https://www.instagram.com/gooutcz/,https://www.instagram.com/gooutcz/,t,t,t,f,65,95,95
Koncerty v Brně,facebook_page,Brno,,https://www.facebook.com/gooutcesko/,https://www.facebook.com/gooutcesko/,t,t,t,f,65,95,95
Koncerty v Brně,youtube_channel,Brno,,https://www.youtube.com/user/gooutcz,https://www.youtube.com/user/gooutcz,t,t,t,f,65,95,95
Koncerty v Brně,tiktok_creator,Brno,,https://www.tiktok.com/@gooutcz,https://www.tiktok.com/@gooutcz,t,t,t,f,65,85,85
