Name,Kind,City,Email,Destination_URL,Source_URL,Active,Verified,Accepts_Outreach,Do_Not_Contact,Relationship_Score,Relevance_Pct,Confidence_Pct
Reel,instagram_creator,Hamburg,,https://www.instagram.com/reel/CuCkfgupPrS/,https://www.instagram.com/reel/CuCkfgupPrS/,t,t,t,f,65,95,95
HALF ME,facebook_page,Hamburg,,https://www.facebook.com/halfmeband,https://www.facebook.com/halfmeband,t,t,t,f,65,85,85
Downtown Bigband,facebook_page,Hamburg,,https://www.facebook.com/downtownbigbandhamburg/,https://www.facebook.com/downtownbigbandhamburg/,t,t,t,f,65,85,85
Cruvior,facebook_page,Hamburg,,https://www.facebook.com/people/Cruvior/61584214396900/,https://www.facebook.com/people/Cruvior/61584214396900/,t,t,t,f,65,85,85
Erika,facebook_page,Hamburg,,https://www.facebook.com/ErikaBandHamburg/,https://www.facebook.com/ErikaBandHamburg/,t,t,t,f,65,85,85
Robotron Trio,facebook_page,Hamburg,,https://www.facebook.com/robotrontrio,https://www.facebook.com/robotrontrio,t,t,t,f,65,85,85
Zarejestruj się,facebook_page,Hamburg,,https://www.facebook.com/reg/,https://www.facebook.com/reg/,t,t,t,f,65,85,85
Facebook Lite,facebook_page,Hamburg,,https://www.facebook.com/lite/,https://www.facebook.com/lite/,t,t,t,f,65,85,85
Informacje,facebook_page,Hamburg,,https://www.facebook.com/about/,https://www.facebook.com/about/,t,t,t,f,65,85,85
Utwórz reklamę,facebook_page,Hamburg,,https://www.facebook.com/ad_campaign/landing.php?placement=pflo&campaign_id=402047449186&nav_source=unknown&extra_1=auto,https://www.facebook.com/ad_campaign/landing.php?placement=pflo&campaign_id=402047449186&nav_source=unknown&extra_1=auto,t,t,t,f,65,85,85
Utwórz stronę,facebook_page,Hamburg,,https://www.facebook.com/pages/create/?ref_type=site_footer,https://www.facebook.com/pages/create/?ref_type=site_footer,t,t,t,f,65,85,85
Praca,facebook_page,Hamburg,,https://www.facebook.com/careers/?ref=pf,https://www.facebook.com/careers/?ref=pf,t,t,t,f,65,85,85
Hamburg: Linkin Park geben 2026 Konzert im Volksparkstadion,event_calendar,Hamburg,,https://hamburg.t-online.de/region/hamburg/id_100747022/hamburg-linkin-park-geben-2026-konzert-im-volksparkstadion.html,https://hamburg.t-online.de/region/hamburg/id_100747022/hamburg-linkin-park-geben-2026-konzert-im-volksparkstadion.html,t,t,t,f,65,65,65
@linkinpark,instagram_creator,Hamburg,,https://www.instagram.com/linkinpark/?g=5,https://www.instagram.com/linkinpark/?g=5,t,t,t,f,65,95,95
"Heute in Hamburg: Ausstellungen, Theater, Konzerte am 20. und 21.04.2026 | hamburg040.com",event_calendar,Hamburg,moin@hamburg040.com,https://www.hamburg040.com/events/2026/heute-in-hamburg-ausstellungen-theater-konzerte-am-20-und-21-04-2026/93748,https://www.hamburg040.com/events/2026/heute-in-hamburg-ausstellungen-theater-konzerte-am-20-und-21-04-2026/93748,t,t,t,f,65,65,65
"Heute in Hamburg: Ausstellungen, Theater, Konzerte am 20. und 21.04.2026",facebook_page,Hamburg,moin@hamburg040.com,https://www.facebook.com/hh040/,https://www.facebook.com/hh040/,t,t,t,f,65,95,95
Klassik in Hamburg - 1 Veranstaltung - Reiseprogramm,event_calendar,Hamburg,,https://www.arnoldreisen.de/reiseprogramm/klassik-in-hamburg-1-veranstaltung/,https://www.arnoldreisen.de/reiseprogramm/klassik-in-hamburg-1-veranstaltung/,t,t,t,f,65,65,65
"Podcast Studios in Hamburg, Germany (3) | WhereToPodcast",podcast,Hamburg,,https://wheretopodcast.com/podcast-studios/hamburg-hh,https://wheretopodcast.com/podcast-studios/hamburg-hh,t,t,t,f,65,55,55
