Name,Kind,City,Email,Destination_URL,Source_URL,Active,Verified,Accepts_Outreach,Do_Not_Contact,Relationship_Score,Relevance_Pct,Confidence_Pct
dresden wolves band | Facebook,facebook_page,Dresden,,https://www.facebook.com/dresdenwolvesband,https://www.facebook.com/dresdenwolvesband,t,t,t,f,65,85,85
dresden big band | Facebook,facebook_page,Dresden,,https://www.facebook.com/DresdenBigband/,https://www.facebook.com/DresdenBigband/,t,t,t,f,65,85,85
Partout | Chemnitz | Facebook,facebook_page,Dresden,,https://www.facebook.com/partoutband,https://www.facebook.com/partoutband,t,t,t,f,65,85,85
Funk Fragment | Facebook,facebook_page,Dresden,,https://www.facebook.com/funkfragment,https://www.facebook.com/funkfragment,t,t,t,f,65,85,85
techno dresden | Facebook,facebook_page,Dresden,,https://www.facebook.com/TECHNO.dresden,https://www.facebook.com/TECHNO.dresden,t,t,t,f,65,85,85
Musikverein Dresden 71 e.V. | Dresden,facebook_page,Dresden,,https://www.facebook.com/Musikverein.Dresden.71eV/,https://www.facebook.com/Musikverein.Dresden.71eV/,t,t,t,f,65,85,85
veranstaltungen dresden | Facebook,event_calendar,Dresden,,https://www.facebook.com/Veranstaltungen.Dresden/,https://www.facebook.com/Veranstaltungen.Dresden/,t,t,t,f,65,85,85
Hfm Dresden,instagram_creator,Dresden,,https://www.instagram.com/hfm_dresden/,https://www.instagram.com/hfm_dresden/,t,t,t,f,65,85,85
Dresden: Pegida,youtube_channel,Dresden,,https://www.youtube.com/@WELTVideoTV,https://www.youtube.com/@WELTVideoTV,t,t,t,f,65,95,95
Dresden: Pegida,facebook_page,Dresden,,https://www.facebook.com/welt/,https://www.facebook.com/welt/,t,t,t,f,65,95,95
Dresden: Pegida,instagram_creator,Dresden,,https://www.instagram.com/welt/,https://www.instagram.com/welt/,t,t,t,f,65,95,95
Kulturhaus Freital,tiktok_creator,Dresden,,https://tiktok.com/@solebtdresden,https://tiktok.com/@solebtdresden,t,t,t,f,65,85,85
Kulturhaus Freital,instagram_creator,Dresden,,https://instagram.com/solebtdresden/,https://instagram.com/solebtdresden/,t,t,t,f,65,95,95
Kulturhaus Freital,youtube_channel,Dresden,,https://www.youtube.com/@solebtdresden/videos,https://www.youtube.com/@solebtdresden/videos,t,t,t,f,65,95,95
facebook.com/ddnl.de,facebook_page,Dresden,,https://www.facebook.com/ddnl.de,https://www.facebook.com/ddnl.de,t,t,t,f,65,95,95
"Rudy Giovannini · Konzert am 17.10.2026, 15:00",facebook_page,Dresden,,http://facebook.com/ddnl.de,http://facebook.com/ddnl.de,t,t,t,f,65,95,95
Dresden - Aktuality - Severočeská Filharmonie,local_media,Dresden,pokladna@dkteplice.cz,https://www.severoceskafilharmonie.cz/cz/aktuality/dresden/,https://www.severoceskafilharmonie.cz/cz/aktuality/dresden/,t,t,t,f,65,65,65
Dresden - Aktuality - Severočeská Filharmonie,event_calendar,Dresden,pokladna@dkteplice.cz,https://www.severoceskafilharmonie.cz/cz/aktuality/dresden/,https://www.severoceskafilharmonie.cz/cz/aktuality/dresden/,t,t,t,f,65,65,65
Dresden,facebook_page,Dresden,pokladna@dkteplice.cz,https://www.facebook.com/severoceskafilharmonie/,https://www.facebook.com/severoceskafilharmonie/,t,t,t,f,65,95,95
Dresden,youtube_channel,Dresden,pokladna@dkteplice.cz,https://www.youtube.com/channel/UCXAydlGwcPmpgIVO6xW5yeQ/featured,https://www.youtube.com/channel/UCXAydlGwcPmpgIVO6xW5yeQ/featured,t,t,t,f,65,95,95
Dresden,instagram_creator,Dresden,pokladna@dkteplice.cz,https://www.instagram.com/severoceskafilharmonie/,https://www.instagram.com/severoceskafilharmonie/,t,t,t,f,65,95,95
