Name,Kind,City,Email,Destination_URL,Source_URL,Active,Verified,Accepts_Outreach,Do_Not_Contact,Relationship_Score,Relevance_Pct,Confidence_Pct
Tajemnice Gorzowa wg Kwiatka,local_creator,Gorzów,,https://www.youtube.com/results?search_query=Tajemnice+Gorzowa+wg+Kwiatka,https://www.gorzow24.pl/news/1/z-miasta/2023-11-15/youtuberzy-z-tajemnic-gorzowa-kreca-juz-piec-lat-13847.html,t,t,t,f,75,85,90
Rathnait / Angelika Agapow,local_creator,Gorzów,,https://www.facebook.com/,https://mckgorzow.pl/gof-2022-sylwetki-finalistow/,t,t,t,f,70,90,85
Molodoyrapper / Młodyrapper,local_creator,Gorzów,,https://www.facebook.com/Mlodyrapper/,https://mckgorzow.pl/gof-2022-sylwetki-finalistow/,t,t,t,f,65,80,85
Maks Maternik,artist,Gorzów,,https://www.facebook.com/maxiiman.mg/,https://mckgorzow.pl/gof-2022-sylwetki-finalistow/,t,t,t,f,60,75,85
Utopia,peer_artist,Gorzów,,https://www.facebook.com/TheUtopiaGW/,https://mckgorzow.pl/gof-2022-sylwetki-finalistow/,t,t,t,f,75,95,90
KAJON,peer_artist,Gorzów,,https://www.facebook.com/kajonband/,https://mckgorzow.pl/gof-2022-sylwetki-finalistow/,t,t,t,f,70,90,90
Radio Underground,independent_radio,,radiounderground@op.pl,https://radiounderground.org/,https://radiounderground.org/,t,t,t,f,80,95,95
Kalendarz Gorzów Wlkp.,event_calendar,Gorzów,,https://kalendarz.gorzow.pl/,https://kalendarz.gorzow.pl/,t,t,t,f,75,95,95
Michał Kapuściński / Gorzów24,local_media,Gorzów,,https://www.gorzow24.pl/,https://www.gorzow24.pl/news/1/z-miasta/news/1/z-miasta/2024-08-08/wartownia-i-dobry-wieczor-gorzow-harmonogram-15140.html,t,t,t,f,75,90,90
Miejskie Centrum Kultury — local artist network,cultural_hub,Gorzów,,https://mckgorzow.pl/,https://mckgorzow.pl/,t,t,t,f,85,95,95
