Name,Country,City,Genre,Email,Social,Website,Links,Source_URL,Activity,Research_Date,Status,Confidence,Contact_Type,Contact_Source,Outreach_Readiness,Notes
Fool The Masses,Germany,Ruhrgebiet / North Rhine-Westphalia,industrial metalcore,info@foolthemasses.com,https://www.instagram.com/foolthemasses/,https://www.foolthemasses.com/,,https://www.foolthemasses.com/,Active — 2026 Germany tour dates,2026-09-23,Active,High,General,Official band site,Ready — direct email,2026 tour dates include Germany club/festival shows; official site lists Redlionmusic booking.
Liar's Fear,Germany,Berlin,"deathcore, metalcore, melodic hardcore",,,,https://www.bandsintown.com/a/14871585-liars-fear,https://www.bandsintown.com/de/e/108856097-liar%27s-fear-at-bandhaus-leipzig-gemeinnutzige-ug?came_from=253,Active — 2026 live date,2026-09-23,Active,High,Social/platform,Bandsintown artist bio,Research — no public email found in reviewed source,Berlin band formed end-2025; listed for Nov 2026 Leipzig show; modern deathcore/djent/metalcore profile.
Ash Return,Germany,Walsrode,"hardcore, heavy metal, swordcore",,https://www.instagram.com/ashreturnhc/,https://www.facebook.com/ashreturnhc,,https://bandcommunity-leipzig.org/events/ash-return-sympathy-for-the-devil-fight-against-monuments/,Active — 2026 live activity,2026-09-23,Active,High,Social,Official event listing + socials,Research — social only,New material/touring documented in 2026; 2026 Leipzig show with Fight Against Monuments.
Fight Against Monuments,Germany,Chemnitz,"hardcore, punk",,https://www.instagram.com/fight_against_monuments_hc/,https://www.fight-against-monuments.de/,,https://www.bandsintown.com/a/14252750-fight-against-monuments,Active — current profile,2026-09-23,Active,High,Social,Bandsintown + band site,Research — social only,German hardcore band; current artist profile lists Chemnitz and genre Hardcore/Punk.
Liquid Jesus,Czechia,Brno,"glam-punk, heavy rock'n'roll",,,https://liquidjesus.bandcamp.com/,,https://melodka.cz/program/akce/12-09-2026-status-praesents-crouch-hellstrike-liquid-jesus,Active — 2026 Brno show,2026-09-23,Active,High,Official/Bandcamp,Bandcamp + Melodka 2026 listing,Research — public contact hidden,Brno four-piece; confirmed on a September 2026 Melodka hardcore/metal bill.
No God Rhetoric,Czechia,Brno,"grindcore, powerviolence",,,https://nogodrhetoric.bandcamp.com/,https://bandzone.cz/nogodrhetoric,https://www.metal-archives.com/bands/No_God_Rhetoric/3540540749,Active — 2026 upcoming shows,2026-09-23,Active,High,Public directory,Metal Archives + Bandcamp/Bandzone,Research — public contact available only via directory,Active Brno grind/powerviolence act; 2026 shows listed for Brno and Czechia.
Crouch,Czechia,Vyškov,hardcore,,,,https://www.reverbnation.com/crouchhc,https://melodka.cz/program/akce/12-09-2026-status-praesents-crouch-hellstrike-liquid-jesus,Active — 2026 show,2026-09-23,Active,High,Event listing,Melodka 2026 event,Research — no public email in reviewed source,Hardcore act appearing on 12.09.2026 Brno bill; event source identifies Crouch as hardcore and lineup as Vyškov.
Everyday Hate,Czechia,Hradec Králové,hardcore,everydayhate@email.cz,https://www.facebook.com/everydayhate,https://bandzone.cz/everydayhate,,https://bandzone.cz/everydayhate,Active — 25th anniversary in 2026,2026-09-23,Active,High,Bandzone,Official-ish Bandzone profile,Ready — direct email,2026 post announces 25 years of Everyday Hate and a March 2026 anniversary show.
The Cold Memories,Poland,Wrocław,"modern metal, metalcore",kontakt@thecoldmemories.com,https://www.instagram.com/thecoldmemories/,https://thecoldmemories.com/en/,,https://thecoldmemories.com/en/,Active — developing live project in 2026,2026-09-23,Active,High,Official website,Official site,Ready — direct email,Wrocław band formed 2023; official site states focus on live performance and upcoming releases; strong modern-metal fit.
Hamulec,Poland,Będzin,"thrash metal, punk",[email protected],,https://hamulec.com/en_US/i/Hamulec/23,,https://www.metal-archives.com/bands/Hamulec/3540502629,Active — 2026 touring,2026-09-23,Active,High,Public directory,Metal Archives + official site,Ready — direct email,2026 source documents new album/tour activity; adjacent heavy bill potential.
Awakeness,Poland,Oświęcim,blackened deathcore,[email protected],,https://awakenessofficial.bandcamp.com/,https://linktr.ee/Awakeness,https://www.metal-archives.com/bands/Awakeness/3540550249,Active — 2026 live activity,2026-09-23,Active,High,Public directory,Metal Archives + Bandcamp,Ready — direct email,Blackened deathcore act from Oświęcim; appeared on 2026 Thy Art Is Murder support bill in Warsaw.
