Name,Country,City,Genre,Email,Social,Website,Source_URL,Activity,Research_Date,Confidence,Contact_Type,Contact_Source,Outreach_Readiness,Notes
nie_cie_ka_we,Poland,Bydgoszcz,,,https://www.instagram.com/nie_cie_ka_we/,,https://www.instagram.com/nie_cie_ka_we/,2026/current activity signal from direct local source,2026-09-23,Needs verification,social,https://www.instagram.com/nie_cie_ka_we/,Research candidate,City micro-pass,Band/artist candidate extracted from deep local source.
"Bydgoszcz, Poland",Poland,Bydgoszcz,,,https://www.facebook.com/sharer/sharer.php?u=https://randomcity.net/,,https://www.facebook.com/sharer/sharer.php?u=https://randomcity.net/,2026/current activity signal from direct local source,2026-09-23,Needs verification,social,https://www.facebook.com/sharer/sharer.php?u=https://randomcity.net/,Research candidate,City micro-pass,Band/artist candidate extracted from deep local source.
- YouTube,Poland,Bydgoszcz,,,https://www.youtube.com/watch?v=ZF7lIRTyupg,,https://www.youtube.com/watch?v=ZF7lIRTyupg,2026/current activity signal from deep city research,2026-09-23,Needs verification,social,https://www.youtube.com/watch?v=ZF7lIRTyupg,Research candidate,City micro-pass,Deep multi-source scan. Confidence 95%.
Katalog zespołów,Poland,Bydgoszcz,,,https://www.facebook.com/muzykujepl,,https://www.facebook.com/muzykujepl,2026/current activity signal from direct local source,2026-09-23,Needs verification,social,https://www.facebook.com/muzykujepl,Research candidate,City micro-pass,Band/artist candidate extracted from deep local source.
muzykuje.pl,Poland,Bydgoszcz,,,https://www.facebook.com/muzykujepl/,,https://www.facebook.com/muzykujepl/,2026/current activity signal from direct local source,2026-09-23,Needs verification,social,https://www.facebook.com/muzykujepl/,Research candidate,City micro-pass,Band/artist candidate extracted from deep local source.
Wiadomości,Poland,Bydgoszcz,,,https://www.youtube.com/channel/UC_vMDcmkuEvw0N-gaP35wTA,,https://www.youtube.com/channel/UC_vMDcmkuEvw0N-gaP35wTA,2026/current activity signal from direct local source,2026-09-23,Needs verification,social,https://www.youtube.com/channel/UC_vMDcmkuEvw0N-gaP35wTA,Research candidate,City micro-pass,Band/artist candidate extracted from deep local source.
Wiadomości z kraju i ze świata,Poland,Bydgoszcz,,,https://www.instagram.com/wirtualnapolska,,https://www.instagram.com/wirtualnapolska,2026/current activity signal from direct local source,2026-09-23,Needs verification,social,https://www.instagram.com/wirtualnapolska,Research candidate,City micro-pass,Band/artist candidate extracted from deep local source.
Client Challenge,Poland,Bydgoszcz,,,,https://paulosergioband.bandcamp.com/,https://paulosergioband.bandcamp.com/,2026/current activity signal from deep city research,2026-09-23,Needs verification,social,https://paulosergioband.bandcamp.com/,Research candidate,City micro-pass,Deep multi-source scan. Confidence 85%.
Facebook Page,Poland,Bydgoszcz,,,https://www.facebook.com/otomotopl,,https://www.facebook.com/otomotopl,2026/current activity signal from direct local source,2026-09-23,Needs verification,social,https://www.facebook.com/otomotopl,Research candidate,City micro-pass,Band/artist candidate extracted from deep local source.
YouTube Channel,Poland,Bydgoszcz,,,https://www.youtube.com/user/otomotopl,,https://www.youtube.com/user/otomotopl,2026/current activity signal from direct local source,2026-09-23,Needs verification,social,https://www.youtube.com/user/otomotopl,Research candidate,City micro-pass,Band/artist candidate extracted from deep local source.
In tagram,Poland,Bydgoszcz,,,https://www.instagram.com/wodociagibydgoskie/,,https://www.instagram.com/wodociagibydgoskie/,2026/current activity signal from direct local source,2026-09-23,Needs verification,social,https://www.instagram.com/wodociagibydgoskie/,Research candidate,City micro-pass,Band/artist candidate extracted from deep local source.
Facebook,Poland,Bydgoszcz,,,https://www.facebook.com/wodabydgoska,,https://www.facebook.com/wodabydgoska,2026/current activity signal from direct local source,2026-09-23,Needs verification,social,https://www.facebook.com/wodabydgoska,Research candidate,City micro-pass,Band/artist candidate extracted from deep local source.
YouTube,Poland,Bydgoszcz,,,https://www.youtube.com/user/mwikbydgoszcz,,https://www.youtube.com/user/mwikbydgoszcz,2026/current activity signal from direct local source,2026-09-23,Needs verification,social,https://www.youtube.com/user/mwikbydgoszcz,Research candidate,City micro-pass,Band/artist candidate extracted from deep local source.
Finałowy koncert Bloodstock Metal 2 The Masses Polska 2025,Poland,Bydgoszcz,,,https://www.youtube.com/channel/UCtJGqTQUcJRNVi4gBqVqAfg,,https://www.youtube.com/channel/UCtJGqTQUcJRNVi4gBqVqAfg,2026/current activity signal from direct local source,2026-09-23,Needs verification,social,https://www.youtube.com/channel/UCtJGqTQUcJRNVi4gBqVqAfg,Research candidate,City micro-pass,Band/artist candidate extracted from deep local source.
TikTok,Poland,Bydgoszcz,,,https://www.tiktok.com/@kronika24pl,,https://www.tiktok.com/@kronika24pl,2026/current activity signal from direct local source,2026-09-23,Needs verification,social,https://www.tiktok.com/@kronika24pl,Research candidate,City micro-pass,Band/artist candidate extracted from deep local source.
