Name,City,Country,Address,Website,Audience_Genre,Capacity,Booking_Contact,Email,Public_Financial_Info,Status,Source_URL,Research_Date,Target_Fit,Contact_Quality,Outreach_Angle,Notes
Hydrozagadka,Warsaw,Poland,"11 Listopada 22, 03-436 Warszawa",https://hydrozagadka.com/en/,"rock, metal, alternative, punk",300,,hydrozagadkaklub@gmail.com,No public booking deal terms found in reviewed public source,Active,https://biletomat.pl/wydarzenia/w/warszawa/w/hydrozagadka,2026-09-23,High,Direct public email,Pitch as Warsaw club routing / modern metalcore bill,300–350 concert capacity reported; long-running alternative concert room.
Wooltura,Łódź,Poland,"Wólczańska 40/42, 90-608 Łódź",https://www.facebook.com/wooltura,"metal, rock, hardcore, alternative",180,,,No public booking deal terms found in reviewed public source,Active,https://visitlodz.com/klub-wooltura/,2026-09-23,High,Website/social only,Small-room metal routing; emerging and touring bills,Regular live bands; venue explicitly described as a place for new bands.
Over The Under Pub,Bydgoszcz,Poland,"Dworcowa 51, 85-009 Bydgoszcz",https://overtheunder.pl/pub/,"rock, metal, punk, alternative",500,,overtheunderpub@gmail.com,No public booking deal terms found in reviewed public source,Active,https://bydgoszczmusic.com/en/spaces/music-clubs/,2026-09-23,High,Direct public email,500-capacity alternative room; strong guitar-music fit,Bydgoszcz underground; source lists approx. 500 capacity and rock/metal programming.
Naumanns Tanzlokal,Leipzig,Germany,"Karl-Heine-Straße 32, 04229 Leipzig",https://www.felsenkeller-leipzig.com/,"rock, metal, hardcore, alternative",300,,info@felsenkeller-leipzig.com,No public booking deal terms found in reviewed public source,Active,https://miz.org/en/institutions/naumanns-tanzlokal-i36470,2026-09-23,High,Direct public email,Leipzig club routing; metal/hardcore support bills,300 capacity; ~180 popular-music concerts/year; current 2026 metal shows listed.
Futurum Music Bar,Prague,Czechia,"Zborovská 7, 150 00 Praha 5",https://futurum.musicbar.cz/,"hardcore, metal, rock, punk",400,,futurum@musicbar.cz,No public booking deal terms found in reviewed public source,Active,https://www.pragueout.cz/klub/kluby-praha/futurum,2026-09-23,High,Direct public email,Ideal 400-room Czech routing stop for metalcore/hardcore,Current Prague venue; multiple public sources place capacity at 400–500.
Modrá Vopice,Prague,Czechia,"K Žižkovu 381/1, Praha",http://www.modravopice.eu,"metal, rock, punk",150,,produkce@modravopice.eu,No public booking deal terms found in reviewed public source,Active,https://adresar.soundczech.cz/en/?capacity%5B%5D=0-200&capacity%5B%5D=1500-4000&capacity%5B%5D=200-500&capacity%5B%5D=4000-inf&genres%5B%5D=74&genres%5B%5D=75&genres%5B%5D=77&regions%5B%5D=hlavni-mesto-praha&regions%5B%5D=karlovarsky-kraj&regions%5B%5D=kraj-vysocina&regions%5B%5D=liberecky-kraj&regions%5B%5D=plzensky-kraj&regions%5B%5D=zlinsky-kraj&type=mista,2026-09-23,High,Direct public email,DIY/underground Prague stop; compact room,SoundCzech lists 150 capacity and metal/rock programming.
Nová Chmelnice,Prague,Czechia,"Koněvova 2597/219, Praha 3, 130 00",https://www.novachmelnice.cz/,"hardcore, metal, punk, rock, alternative",300,,novachmelnice@gmail.com,No public booking deal terms found in reviewed public source,Active,https://adresar.soundczech.cz/en/?capacity%5B%5D=0-200&capacity%5B%5D=1500-4000&capacity%5B%5D=200-500&capacity%5B%5D=4000-inf&genres%5B%5D=74&genres%5B%5D=75&genres%5B%5D=77&regions%5B%5D=hlavni-mesto-praha&regions%5B%5D=karlovarsky-kraj&regions%5B%5D=kraj-vysocina&regions%5B%5D=liberecky-kraj&regions%5B%5D=plzensky-kraj&regions%5B%5D=zlinsky-kraj&type=mista,2026-09-23,High,Direct public email,300-cap Prague club with explicit hardcore/metal tags,SoundCzech lists 300 capacity and hardcore/metal/punk/rock genres.
Kabinet Múz,Brno,Czechia,"Sukova 49/4, 602 00 Brno",http://www.kabinetmuz.cz,"hardcore, metal, punk, rock, alternative",230,,info@kabinetmuz.cz,No public booking deal terms found in reviewed public source,Active,https://openhousebrno.cz/en/kabinet-muz,2026-09-23,High,Direct public email,Brno small-room route; heavy alternative and hardcore bills,Renovated black-box hall accommodates about 230 concert-goers; SoundCzech tags metal/hardcore.
Melodka,Brno,Czechia,"Pisárecká 525/7a, 603 00 Brno",https://www.melodka.cz/,"metal, hardcore, rock, alternative",350,,,No public booking deal terms found in reviewed public source,Active,https://www.darkzin.cz/kluby-cesko/melodka/,2026-09-23,High,Website only,Strong Brno metal route; 2026 extreme-metal bills,Active in current location; current source reports up to 350 capacity and 2026 metal/hardcore events.
m13 klub,Brno,Czechia,"Benešova 22, 602 00 Brno",https://www.m13.cz/,"metal, rock",150,,info@m13.cz,No public booking deal terms found in reviewed public source,Active,https://adresar.soundczech.cz/en/?genres%5B%5D=65&genres%5B%5D=66&genres%5B%5D=70&regions%5B%5D=jihomoravsky-kraj&regions%5B%5D=karlovarsky-kraj&type=mista,2026-09-23,Medium,Direct public email,Tiny heavy-music room for lower-cost Czech routing,SoundCzech lists 150 capacity and metal/rock focus.
Barrák music club,Ostrava,Czechia,"Fügnerova 595/1, 702 00 Ostrava",https://www.barrak-club.cz/,"metal, hardcore, rock, punk",800,,,No public booking deal terms found in reviewed public source,Active,https://www.orlovezabavy.cz/profile-19204-barrak-music-club,2026-09-23,High,Website only,High-value Ostrava stop; can support larger shared bills,Main hall up to 800 plus smaller 100-cap hall; current programming includes metal and hardcore.
Majestic Music Club,Bratislava,Slovakia,"Karpatská 2, 811 05 Bratislava",https://majestic.sk/,"metal, rock, punk, alternative",600,,booking@openrock.sk,No public booking deal terms found in reviewed public source,Active,https://majestic.sk/,2026-09-23,High,Direct booking email,600-cap Bratislava stop for Czech/Slovak/Polish routing,Official site lists current 2026 rock programming and booking@openrock.sk; external venue source reports up to 600 standing.
Badehaus Berlin,Berlin,Germany,"Revaler Straße 99, 10245 Berlin",https://badehaus-berlin.com,"live music, rock, metal, alternative",250,booking@badehaus-berlin.com,booking@badehaus-berlin.com,No public booking deal terms found in reviewed public source,Active,https://badehaus-berlin.com/en/veranstalter/,2026-09-23,High,Direct public booking email,Pitch modern metalcore/deathcore club show,350+ concerts/parties yearly; main floor 250 concert guests.
Cassiopeia Berlin,Berlin,Germany,"Revaler Str. 99, 10245 Berlin",https://www.cassiopeia-berlin.de,"metalcore, hardcore, rock, alternative",728,,info@cassiopeia-berlin.de,No public booking deal terms found in reviewed public source,Active,https://www.cassiopeia-berlin.de/club,2026-09-23,High,General public email,Pitch modern metalcore/hardcore bill,2026 programming includes Metalcore, Straight Edge Hardcore, Doom Metal and Metal shows.
Stellwerk Hamburg,Hamburg,Germany,"Hannoversche Str. 85, 21079 Hamburg",https://stellwerk-hamburg.de,"live music, rock, hardcore, alternative",199,,kontakt@stellwerk-hamburg.de,No public booking deal terms found in reviewed public source,Active,https://stellwerk-hamburg.de/vermietung/,2026-09-23,Medium,General public email,Pitch compact routed club show,Concert hall holds up to 199; venue explicitly supports live performances and public concert rentals.
Bandhaus Leipzig,Leipzig,Germany,"Saarländer Str. 17, 04179 Leipzig",https://bandcommunity-leipzig.org,"hardcore, metalcore, metal, punk",180,,,No public booking deal terms found in reviewed public source,Active,https://bandcommunity-leipzig.org/veranstaltungskeller/,2026-09-23,High,Contact form,Pitch DIY/underground routed date,Venue cellar holds up to 180; regular concerts; 2026 programming includes hardcore/metalcore.
Moritzbastei,Leipzig,Germany,"Kurt-Masur-Platz 1, 04109 Leipzig",https://www.moritzbastei.de,"metalcore, hardcore-adjacent, rock, alternative",350,,info@moritzbastei.de,No public booking deal terms found in reviewed public source,Active,https://www.morecore.de/party/morecore-party-leipzig-moritzbastei-samstag-31-01-2026,2026-09-23,Medium,General public email,Pitch 250–350 club-scale heavy bill,Oberkeller factsheet gives 150–350 capacity; venue hosted MoreCore hard-floor programming.
Tante JU,Dresden,Germany,"An der Schleife 1, 01099 Dresden",https://www.liveclub-dresden.de,"metal, hard rock, rock",500,,,No public booking deal terms found in reviewed public source,Active,https://www.metal.de/locations/tante-ju-108160/,2026-09-23,High,Public venue listing,Pitch eastern-Germany routing stop,500 capacity; 2026 metal listings include Benediction and Blood Incantation.
Club From Hell,Erfurt,Germany,"Flughafenstraße 41, 99092 Erfurt-Bindersleben",https://www.clubfromhell.de,"metal, extreme metal, black/death metal",,,Info@clubfromhell.de,No public booking deal terms found in reviewed public source,Active,https://www.clubfromhell.de/events/genre/metal.html,2026-09-23,High,General public email,Pitch extreme-metal/deathcore routing stop,Dedicated metal program; 2026 listings include Asenblut, Crematory, Eisregen and Macbeth. Capacity not publicly confirmed in reviewed source.
Klub 007 Strahov,Prague,Czechia,"Chaloupeckého 1915/7, 169 00 Praha",https://klub007strahov.cz,"hardcore, punk, metal, alternative",180,,,No public booking deal terms found in reviewed public source,Active,https://klub007strahov.cz/informace/,2026-09-23,High,Public contact/form,Pitch intimate Prague metalcore/hardcore date,Official site states 180-person capacity; active 2026 programming.
Rock Café Prague,Prague,Czechia,"Národní 20, 110 00 Praha 1",https://www.rockcafe.cz,"metalcore, rock, hardcore, alternative",528,,simon@rockcafe.cz,No public booking deal terms found in reviewed public source,Active,https://prague.eu/en/objevujte/rock-cafe/,2026-09-23,High,General public email,Pitch 500-scale Prague routing date,City tourism lists main music hall at 500; current 2026 program includes metalcore/metal shows.
