Name,Kind,City,Email,Destination_URL,Source_URL,Active,Verified,Accepts_Outreach,Do_Not_Contact,Relationship_Score,Relevance_Pct,Confidence_Pct
Acoustic Set @The Venue Berlin hosted by Metal Hammer Germany,youtube_channel,Berlin,,https://www.youtube.com/watch?v=AQ1bHYIDBMA,https://www.youtube.com/watch?v=AQ1bHYIDBMA,t,t,t,f,65,85,85
Berling Berlin - Façade (Official Music Video) - YouTube,youtube_channel,Berlin,,https://www.youtube.com/watch?v=kCXoUkhTJNY,https://www.youtube.com/watch?v=kCXoUkhTJNY,t,t,t,f,65,85,85
"Metallica - Berlin, Germany 2026 - Full Live Show - Multicam…",youtube_channel,Berlin,,https://www.youtube.com/watch?v=9aZB-n2TD9A,https://www.youtube.com/watch?v=9aZB-n2TD9A,t,t,t,f,65,95,95
musikatelier berlin | Facebook,facebook_page,Berlin,,https://www.facebook.com/musikatelier.Berlin/,https://www.facebook.com/musikatelier.Berlin/,t,t,t,f,65,85,85
Berlin (Official Music Video),youtube_channel,Berlin,,https://music.youtube.com/watch?v=xDnwJoiQ1tI&list=OLAK5uy_l6Po0xrvOFzPjPv_GY1ZmBBkRMbRgTmOM&index=0,https://music.youtube.com/watch?v=xDnwJoiQ1tI&list=OLAK5uy_l6Po0xrvOFzPjPv_GY1ZmBBkRMbRgTmOM&index=0,t,t,t,f,65,85,85
Judas Priest - Rocka Rolla (club concert in Berlin) 31.05.2022…,youtube_channel,Berlin,,https://www.youtube.com/watch?v=JzHmNSUrcwI&ab_channel=Ka%C5%82bojna%C5%9Bmietnikhistorii,https://www.youtube.com/watch?v=JzHmNSUrcwI&ab_channel=Ka%C5%82bojna%C5%9Bmietnikhistorii,t,t,t,f,65,85,85
AnnenMayKantereit & K.I.Z. - Hurra die Welt geht unter - YouTube,youtube_channel,Berlin,,https://www.youtube.com/watch?v=0nouhZQqtx4,https://www.youtube.com/watch?v=0nouhZQqtx4,t,t,t,f,65,85,85
Peter Komma Der - YouTube,youtube_channel,Berlin,,https://www.youtube.com/channel/UCDdhY9jG3rChHndiRZPzAPQ,https://www.youtube.com/channel/UCDdhY9jG3rChHndiRZPzAPQ,t,t,t,f,65,85,85
Ostgut Ton aus der Halle am Berghain (live) - Halle - ARTE Concert,youtube_channel,Berlin,,https://www.youtube.com/watch?v=lMyc0dW65Iw,https://www.youtube.com/watch?v=lMyc0dW65Iw,t,t,t,f,65,85,85
videodrom berlin | Facebook,facebook_page,Berlin,,https://www.facebook.com/Videodrom.Berlin,https://www.facebook.com/Videodrom.Berlin,t,t,t,f,65,85,85
berlin sound strike | Facebook,facebook_page,Berlin,,https://www.facebook.com/berlin.soundstrike,https://www.facebook.com/berlin.soundstrike,t,t,t,f,65,85,85
Rammstein - Mein Teil (Official 4K Video) - YouTube,youtube_channel,Berlin,,https://www.youtube.com/watch?v=PBvwcH4XX6U,https://www.youtube.com/watch?v=PBvwcH4XX6U,t,t,t,f,65,85,85
Berlin At Night - YouTube,youtube_channel,Berlin,,https://www.youtube.com/watch?v=aBhplglmrQM,https://www.youtube.com/watch?v=aBhplglmrQM,t,t,t,f,65,85,85
Reaction to Rammstein - Engel Live aus Berlin... - YouTube,youtube_channel,Berlin,,https://www.youtube.com/watch?v=vKBFhB50I8U,https://www.youtube.com/watch?v=vKBFhB50I8U,t,t,t,f,65,85,85
Berlin lebt,youtube_channel,Berlin,,https://music.youtube.com/browse/MPREb_byOKsqciHQz,https://music.youtube.com/browse/MPREb_byOKsqciHQz,t,t,t,f,65,85,85
"The Unforgiven: Berlin, Germany (53026) #metallica…",youtube_channel,Berlin,,https://www.youtube.com/shorts/Lff1HIulpek,https://www.youtube.com/shorts/Lff1HIulpek,t,t,t,f,65,85,85
Pop-Kultur Festival 2019 Berlin (Audiodeskription) - YouTube,youtube_channel,Berlin,,https://www.youtube.com/watch?v=DqW4GwqjEQ8,https://www.youtube.com/watch?v=DqW4GwqjEQ8,t,t,t,f,65,85,85
LIVE AUS Berlin - Die Heavy Hour bei Star.FM | Dokumentation…,youtube_channel,Berlin,,https://www.youtube.com/watch?v=BjRJcLyzonc,https://www.youtube.com/watch?v=BjRJcLyzonc,t,t,t,f,65,85,85
Berlin ist Kultur - YouTube,youtube_channel,Berlin,,https://www.youtube.com/watch?v=d1QwnYSr5hU,https://www.youtube.com/watch?v=d1QwnYSr5hU,t,t,t,f,65,85,85
Rammstein - Deutschland (Official Video) - YouTube,youtube_channel,Berlin,,https://www.youtube.com/watch?v=NeQM1c-XCDc,https://www.youtube.com/watch?v=NeQM1c-XCDc,t,t,t,f,65,85,85
onboard music berlin | Facebook,facebook_page,Berlin,,https://www.facebook.com/onboardmusic.berlin,https://www.facebook.com/onboardmusic.berlin,t,t,t,f,65,85,85
disput berlin | Facebook,facebook_page,Berlin,,https://www.facebook.com/disput.berlin/,https://www.facebook.com/disput.berlin/,t,t,t,f,65,85,85
berlintagundnacht | Facebook,facebook_page,Berlin,,https://www.facebook.com/berlintagundnacht,https://www.facebook.com/berlintagundnacht,t,t,t,f,65,85,85
Nightmarer | Facebook,facebook_page,Berlin,,https://www.facebook.com/nightmarercult/,https://www.facebook.com/nightmarercult/,t,t,t,f,65,85,85
