Name,Kind,City,Email,Destination_URL,Source_URL,Active,Verified,Accepts_Outreach,Do_Not_Contact,Relationship_Score,Relevance_Pct,Confidence_Pct
PercivalMusicVEVO - YouTube,youtube_channel,Bydgoszcz,,https://www.youtube.com/channel/UC1TpBVBaX70GK1WiRi7nneg,https://www.youtube.com/channel/UC1TpBVBaX70GK1WiRi7nneg,t,t,t,f,65,85,85
"Loona live ""El Tiburon"" HITY NA Czasie 28.08.2011 Bydgoszcz…",youtube_channel,Bydgoszcz,,https://music.youtube.com/watch?v=KMwDzONxwCk,https://music.youtube.com/watch?v=KMwDzONxwCk,t,t,t,f,65,85,85
52 Rockers - YouTube,youtube_channel,Bydgoszcz,,https://www.youtube.com/channel/UC42Y_8h_zqUq8fcvpC8QaQw,https://www.youtube.com/channel/UC42Y_8h_zqUq8fcvpC8QaQw,t,t,t,f,65,85,85
Krzysztof Herdzin meets Ignacy Jazz Paderewski - Polish Fantasy…,youtube_channel,Bydgoszcz,,https://www.youtube.com/watch?v=pMgDCSsoFak,https://www.youtube.com/watch?v=pMgDCSsoFak,t,t,t,f,65,85,85
Link to facebook.com,facebook_page,Bydgoszcz,,https://www.facebook.com/dementismetalband/,https://www.facebook.com/dementismetalband/,t,t,t,f,65,85,85
Paderewski International Piano Competition - YouTube,youtube_channel,Bydgoszcz,,https://www.youtube.com/channel/UCS_tV06lrXa-yLDZaFTLSrg,https://www.youtube.com/channel/UCS_tV06lrXa-yLDZaFTLSrg,t,t,t,f,65,85,85
[Mecz] Zawisza Bydgoszcz - Orlęta Aleksandrów Kujawski…,youtube_channel,Bydgoszcz,,https://www.youtube.com/watch?v=CRMUtKvHUtc,https://www.youtube.com/watch?v=CRMUtKvHUtc,t,t,t,f,65,85,85
"COLLAGE - God, Moonshine, War is over - Kuźnia, Bydgoszcz...",youtube_channel,Bydgoszcz,,https://www.youtube.com/watch?v=YtXpj1V62Go,https://www.youtube.com/watch?v=YtXpj1V62Go,t,t,t,f,65,85,85
enTrance 2008 - Hymn - Aly & Fila - Poland Bydgoszcz... - YouTube,youtube_channel,Bydgoszcz,,https://www.youtube.com/watch?v=xpBdOuPAjRI,https://www.youtube.com/watch?v=xpBdOuPAjRI,t,t,t,f,65,85,85
"Jean Michel Jarre - Teo & Tea, Bydgoszcz, Poland 15/11/11 - YouTube",youtube_channel,Bydgoszcz,,https://www.youtube.com/watch?v=LLm8zEZ9PJQ,https://www.youtube.com/watch?v=LLm8zEZ9PJQ,t,t,t,f,65,85,85
