Name,Kind,City,Email,Destination_URL,Source_URL,Active,Verified,Accepts_Outreach,Do_Not_Contact,Relationship_Score,Relevance_Pct,Confidence_Pct
Yagody ( Ягоди) - Fragments of the concert. Poland 09.06.22…,youtube_channel,Łódź,,https://www.youtube.com/watch?v=8B_tLUVEyM0,https://www.youtube.com/watch?v=8B_tLUVEyM0,t,t,t,f,65,85,85
Twenty One Pilots - live at Lodz Poland - YouTube,youtube_channel,Łódź,,https://www.youtube.com/watch?v=NBtGbqj-DbU,https://www.youtube.com/watch?v=NBtGbqj-DbU,t,t,t,f,65,85,85
Tomasz Konieczny - Bösendorfer Ambassador sings Richard Strauss…,youtube_channel,Łódź,,https://www.youtube.com/watch?v=jdP3AERVfIE,https://www.youtube.com/watch?v=jdP3AERVfIE,t,t,t,f,65,85,85
Queen + Adam Lambert 6.11.2017 Atlas arena Łódź Poland Radio...,youtube_channel,Łódź,,https://www.youtube.com/watch?v=WzrcIup1_rU,https://www.youtube.com/watch?v=WzrcIup1_rU,t,t,t,f,65,85,85
Wojtek Mazolewski - YouTube,youtube_channel,Łódź,,https://www.youtube.com/channel/UCWowDPa2RV6etrQjmarFp1g,https://www.youtube.com/channel/UCWowDPa2RV6etrQjmarFp1g,t,t,t,f,65,85,85
First time in Łódź - 50 cent - The Final Lap Tour Atlas Arena... - YouTube,youtube_channel,Łódź,,https://www.youtube.com/watch?v=iUa8Call8k8,https://www.youtube.com/watch?v=iUa8Call8k8,t,t,t,f,65,85,85
"A$AP Rocky performs “Sandman” Live in Łódź, Poland 🇵... - YouTube",youtube_channel,Łódź,,https://www.youtube.com/shorts/lb6wlp4cKeU,https://www.youtube.com/shorts/lb6wlp4cKeU,t,t,t,f,65,85,85
"Oxygène 4 - Jean-Michel Jarre in concert - Atlas Arena, Łódź, Poland",youtube_channel,Łódź,,https://www.youtube.com/watch?v=OCm_Wee4q78,https://www.youtube.com/watch?v=OCm_Wee4q78,t,t,t,f,65,85,85
Polish Doomer Music - Łódź Edition - YouTube,youtube_channel,Łódź,,https://www.youtube.com/watch?v=dGwtpVWNyLA,https://www.youtube.com/watch?v=dGwtpVWNyLA,t,t,t,f,65,85,85
Gryf Events - YouTube,youtube_channel,Łódź,,https://www.youtube.com/channel/UC9m7h7facICy3QryfL1sdpA,https://www.youtube.com/channel/UC9m7h7facICy3QryfL1sdpA,t,t,t,f,65,85,85
Bonnie Tyler - It's a Heartache / 07.12.2025 Łódź / Poland... - YouTube,youtube_channel,Łódź,,https://www.youtube.com/watch?v=ZiUuaE_NLgM,https://www.youtube.com/watch?v=ZiUuaE_NLgM,t,t,t,f,65,85,85
Polskie Wydawnictwo Muzyczne - YouTube,youtube_channel,Łódź,,https://www.youtube.com/channel/UCYu9sQgAJJDzyTwYADRDKwA,https://www.youtube.com/channel/UCYu9sQgAJJDzyTwYADRDKwA,t,t,t,f,65,85,85
"Black Sugar - Time of the Darkness, Łódź, Poland... - YouTube",youtube_channel,Łódź,,https://www.youtube.com/watch?v=Pw7MiE2zBGc,https://www.youtube.com/watch?v=Pw7MiE2zBGc,t,t,t,f,65,85,85
serbskiTV - YouTube,youtube_channel,Łódź,,https://www.youtube.com/channel/UClzv2AK-qRe-xn9f9tqYp9w,https://www.youtube.com/channel/UClzv2AK-qRe-xn9f9tqYp9w,t,t,t,f,65,85,85
Karpiowy Wuja - YouTube,youtube_channel,Łódź,,https://www.youtube.com/channel/UC8yfZ5JyCCFXYHKPJJA7a0w,https://www.youtube.com/channel/UC8yfZ5JyCCFXYHKPJJA7a0w,t,t,t,f,65,85,85
Pantera - Yesterday Don't Mean Shit Live at Metal Hammer…,youtube_channel,Łódź,,https://www.youtube.com/watch?v=bF6sancWNuE,https://www.youtube.com/watch?v=bF6sancWNuE,t,t,t,f,65,85,85
I Went To The 'Ugliest' City In Poland 🇵🇱 - YouTube,youtube_channel,Łódź,,https://www.youtube.com/watch?v=2In0YwupCec,https://www.youtube.com/watch?v=2In0YwupCec,t,t,t,f,65,85,85
"Anstehende Veranstaltungen in Lowicz, Poland | Bandsintown",local_music_resource,Łódź,,https://www.bandsintown.com/de/c/lowicz-poland,https://www.bandsintown.com/de/c/lowicz-poland,t,t,t,f,65,85,85
Spotkanie z Mikołajem w Porcie Łódź - codziennie do 23 grudnia…,youtube_channel,Łódź,,https://www.youtube.com/watch?v=PStSPkhxdVo,https://www.youtube.com/watch?v=PStSPkhxdVo,t,t,t,f,65,85,85
This Must Be The Place Live in Łódź Foto Cafe 102 24042012 | Azbest,local_music_resource,Łódź,,https://azbest-l3.bandcamp.com/album/this-must-be-the-place-live-in-d-foto-cafe-102-24042012,https://azbest-l3.bandcamp.com/album/this-must-be-the-place-live-in-d-foto-cafe-102-24042012,t,t,t,f,65,85,85
Surroundings | THUS IT ENDS,local_music_resource,Łódź,,https://thusitends.bandcamp.com/track/surroundings,https://thusitends.bandcamp.com/track/surroundings,t,t,t,f,65,85,85
2026 Entradas y programa de eventos para Klub Wytwórnia en Łódź...,venue,Łódź,,https://www.bandsintown.com/es/v/10007447-klub-wytwornia,https://www.bandsintown.com/es/v/10007447-klub-wytwornia,t,t,t,f,65,95,95
Zespół na wesele łódź śpiewa Tomek T. clip 3,youtube_channel,Łódź,,https://www.youtube.com/watch?v=o2gMHsH6PBc,https://www.youtube.com/watch?v=o2gMHsH6PBc,t,t,t,f,65,85,85
