Name,Kind,City,Email,Destination_URL,Source_URL,Active,Verified,Accepts_Outreach,Do_Not_Contact,Relationship_Score,Relevance_Pct,Confidence_Pct
Warsaw Poland Bros Band - YouTube,youtube_channel,Warsaw,,https://www.youtube.com/@WarsawPolandBrosBand,https://www.youtube.com/@WarsawPolandBrosBand,t,t,t,f,65,85,85
WRK | Warsaw | Facebook,facebook_page,Warsaw,,https://www.facebook.com/wrk4822/,https://www.facebook.com/wrk4822/,t,t,t,f,65,85,85
Warsaw National Philharmonic Orchestra,youtube_channel,Warsaw,,https://music.youtube.com/channel/UC1K5bPN4Zxp2FtOHBD7TZVA,https://music.youtube.com/channel/UC1K5bPN4Zxp2FtOHBD7TZVA,t,t,t,f,65,85,85
"Message by Miyasis, released 25 April 2023",local_music_resource,Warsaw,,https://miyasis.bandcamp.com/track/message,https://miyasis.bandcamp.com/track/message,t,t,t,f,65,85,85
Maken_StrefaDread is on Mixcloud. Listen for free to their radio shows...,independent_radio,Warsaw,,https://www.mixcloud.com/makenmiroslawdzieciolowski/,https://www.mixcloud.com/makenmiroslawdzieciolowski/,t,t,t,f,65,75,75
icareukraine warsaw | Facebook,facebook_page,Warsaw,,https://www.facebook.com/ICareUkraine.warsaw/,https://www.facebook.com/ICareUkraine.warsaw/,t,t,t,f,65,85,85
Image,facebook_page,Warsaw,,https://www.facebook.com/BeOriginalTours/,https://www.facebook.com/BeOriginalTours/,t,t,t,f,65,95,95
Image,instagram_creator,Warsaw,,https://www.instagram.com/be_original_tours/,https://www.instagram.com/be_original_tours/,t,t,t,f,65,95,95
Warsaw / Poland,facebook_page,Warsaw,a.marciniewska@schubertmusic.com,https://www.facebook.com/SchubertMusicEurope/,https://www.facebook.com/SchubertMusicEurope/,t,t,t,f,65,95,95
Warsaw / Poland,instagram_creator,Warsaw,a.marciniewska@schubertmusic.com,https://www.instagram.com/schubertmusicofficial/,https://www.instagram.com/schubertmusicofficial/,t,t,t,f,65,95,95
"READY FEST 2026 @ WARSAW, 4 September 2026, 12:00 (Friday)",facebook_page,Warsaw,,https://www.facebook.com/ticketshoplv,https://www.facebook.com/ticketshoplv,t,t,t,f,65,95,95
"READY FEST 2026 @ WARSAW, 4 September 2026, 12:00 (Friday)",instagram_creator,Warsaw,,https://www.instagram.com/ticketshoplv,https://www.instagram.com/ticketshoplv,t,t,t,f,65,95,95
